Device,Description,สถานที่,การไฟฟ้า,สถานที่ติดตั้ง,ประเภทอุปกรณ์,Availability (%),จำนวนครั้ง Online,ระยะเวลา Online (seconds),จำนวนครั้ง Connecting,ระยะเวลา Connecting (seconds),จำนวนครั้ง Initializing,ระยะเวลา Initializing (seconds),จำนวนครั้ง Telemetry Failure,ระยะเวลา Telemetry Failure (seconds),จำนวนครั้ง Offline,ระยะเวลา Offline (seconds)
S1-AVR-0003,PTH04A-01,AVR สุสานสีตะศาลา,กฟส.ปากท่อ,ระบบจำหน่าย,FRTU-AVR,61.49,672.00,4743.80,252.00,852.53,253.00,518.64,470.00,1600.26,0.00,0.00
S1-AVR-0004,RBB08A-01,AVR ตรงข้ามบริษัท VCF ฟีดมิลด์,กฟส.ปากท่อ,ระบบจำหน่าย,FRTU-AVR,61.76,785.00,5245.83,248.00,659.01,248.00,512.47,595.00,2076.01,0.00,0.00
S1-AVR-0005,PBA06A-01,AVR หลังโครงการชั่งหัวมัน,กฟส.ท่ายาง,ระบบจำหน่าย,FRTU-AVR,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
S1-AVR-0006,HUU03A-01,"AVR หนองพลับ,ป่าเต็ง",กฟส.หัวหิน,ระบบจำหน่าย,FRTU-AVR,61.96,436.00,3159.07,177.00,567.37,179.00,343.18,288.00,1028.99,0.00,0.00
S1-AVR-0007,TSE05A-01,AVR นิดาคาร์แคร์,กฟส.ท่าแซะ,ระบบจำหน่าย,FRTU-AVR,54.95,292.00,1358.62,85.00,157.87,86.00,165.31,236.00,790.81,0.00,0.00
S1-AVR-0008,LSA03A-01,AVR ไลน์พะโต๊ะ,กฟส.หลังสวน,ระบบจำหน่าย,FRTU-AVR,54.25,232.00,968.77,77.00,122.37,78.00,98.61,175.00,596.02,0.00,0.00
S1-AVR-0009,LSA09A-01,AVR เขาชะมด,กฟส.หลังสวน,ระบบจำหน่าย,FRTU-AVR,0.00,0.00,0.00,145.00,461.73,146.00,784.50,0.00,0.00,0.00,0.00
S1-AVR-0010,LSA10A-01,AVR ละแมฟาร์มกุ้ง,กฟส.หลังสวน,ระบบจำหน่าย,FRTU-AVR,60.11,435.00,3285.29,248.00,899.75,250.00,587.14,219.00,693.20,0.00,0.00
S1-AVR-0011,CPA08A-01,AVR บ้านปากจั่น,กฟส.ชุมพร,ระบบจำหน่าย,FRTU-AVR,56.52,228.00,1003.41,73.00,72.37,74.00,68.44,176.00,631.01,0.00,0.00
S1-AVR-0012,XPA04A-01,AVR บ้านคา,กฟส.สวนผึ้ง,ระบบจำหน่าย,FRTU-AVR,52.80,1453.00,12445.81,1007.00,5568.02,1006.00,2940.91,720.00,2615.46,0.00,0.00
S1-AVR-0013,XPA01A-01,AVR ห้วยหนึ่ง ผาปก,กฟส.สวนผึ้ง,ระบบจำหน่าย,FRTU-AVR,53.43,594.00,4232.26,315.00,1538.60,316.00,842.56,347.00,1308.15,0.00,0.00
S1-CSW-0001,PBA01YB-01,Circuit Switcher สถานีไฟฟ้าเพชรบุรี1,กฟส.เพชรบุรี,ระบบสายส่ง,FRTU-CircuitSwitcher115kV,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
S1-LBS-0001,RBB02YS-20,สวนมะม่วงโชคอนันต์,กฟส.จอมบึง,ระบบสายส่ง,FRTU-LoadBreakSwitch115kV,41.60,71.00,432.11,56.00,262.59,58.00,255.82,32.00,88.27,0.00,0.00
S1-LBS-0002,RBB05YS-05,แยกหนองชุมพล,กฟส.เขาย้อย,ระบบสายส่ง,FRTU-LoadBreakSwitch115kV,56.32,620.00,3533.57,188.00,717.60,191.00,467.30,448.00,1555.41,0.00,0.00
S1-LBS-0003,KHY04YS-07,หนองปรง,กฟส.เพชรบุรี,ระบบสายส่ง,FRTU-LoadBreakSwitch115kV,35.47,127.00,1116.69,114.00,1073.77,115.00,848.39,36.00,109.72,0.00,0.00
S1-LBS-0004,RBB04YS-05,หน้า สฟฟ.รบ.2 หมู่บ้านนิรันดร์,กฟส.ราชบุรี,ระบบสายส่ง,FRTU-LoadBreakSwitch115kV,30.17,3987.00,42411.09,4628.00,50657.97,4632.00,45691.54,449.00,1800.52,0.00,0.00
S1-LBS-0005,PTR03YS-06,ดอนกระเบื้อง,กฟส.โพธาราม,ระบบสายส่ง,FRTU-LoadBreakSwitch115kV,35.76,677.00,3566.95,357.00,2543.66,360.00,2240.80,416.00,1623.50,0.00,0.00
S1-LBS-0006,BSP03YS-09,ปั้มบางจาก,กฟส.บางสะพาน,ระบบสายส่ง,FRTU-LoadBreakSwitch115kV,37.70,675.00,6943.82,823.00,5303.55,826.00,5666.37,93.00,505.71,0.00,0.00
S1-LBS-0007,BSP03YS-08,ทางรถไฟ วัดห้วยทรายขาว,กฟส.บางสะพาน,ระบบสายส่ง,FRTU-LoadBreakSwitch115kV,39.68,196.00,1864.73,185.00,1398.60,186.00,1272.83,55.00,162.71,0.00,0.00
S1-LBS-0008,BSP02YS-10,แยกท่าเรือ,กฟส.บางสะพาน,ระบบสายส่ง,FRTU-LoadBreakSwitch115kV,54.65,38.00,196.69,29.00,65.70,31.00,45.17,14.00,52.32,0.00,0.00
S1-LBS-0009,BSP01YS-07,ตรงข้ามวัดท่ามะนาว,กฟส.บางสะพาน,ระบบสายส่ง,FRTU-LoadBreakSwitch115kV,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
S1-LBS-0010,BSP02YS-08,หน้าวัดท่ามะนาว,กฟส.บางสะพาน,ระบบสายส่ง,FRTU-LoadBreakSwitch115kV,29.60,38.00,77.79,33.00,81.84,35.00,49.74,17.00,53.41,0.00,0.00
S1-LBS-0011,RBB02YS-10,เจ็ดเสมียน,กฟส.โพธาราม,ระบบสายส่ง,FRTU-LoadBreakSwitch115kV,55.46,590.00,3426.41,146.00,433.65,148.00,377.91,465.00,1940.48,0.00,0.00
S1-LBS-0012,TSE03YS-05,ศรีตรังโกลล์,กฟส.ท่าแซะ,ระบบสายส่ง,FRTU-LoadBreakSwitch115kV,39.02,83.00,426.28,78.00,519.59,78.00,124.65,14.00,21.96,0.00,0.00
S1-LBS-0013,TSE03YS-08,ศรีตรังโกลล์,กฟส.ท่าแซะ,ระบบสายส่ง,FRTU-LoadBreakSwitch115kV,44.90,83.00,594.85,75.00,544.89,76.00,155.43,17.00,29.64,0.00,0.00
S1-LBS-0014,RBB03YS-06,หน้าโรงเรียนไทยรัฐวิทยา 64,กฟส.ปากท่อ,ระบบสายส่ง,FRTU-LoadBreakSwitch115kV,39.79,1311.00,9084.50,403.00,3823.92,404.00,2928.82,1281.00,6940.30,1.00,51.88
S1-LBS-0015,CAB04YS-07,หน้าสถานีไฟฟ้าหัวหิน 4 ชั่วคราว,กฟส.หัวหิน,ระบบสายส่ง,FRTU-LoadBreakSwitch115kV,57.27,543.00,3164.23,167.00,407.77,169.00,307.00,396.00,1646.50,0.00,0.00
S1-LBS-0016,HUB02YS-07,หน้าสถานีไฟฟ้าหัวหิน 3,กฟส.หัวหิน,ระบบสายส่ง,FRTU-LoadBreakSwitch115kV,39.84,3103.00,32392.34,2665.00,20493.04,2675.00,18776.17,1693.00,9639.25,0.00,0.00
