Device,Description,สถานที่,การไฟฟ้า,สถานที่ติดตั้ง,ประเภทอุปกรณ์,Availability (%),จำนวนครั้ง Online,ระยะเวลา Online (seconds),จำนวนครั้ง Connecting,ระยะเวลา Connecting (seconds),จำนวนครั้ง Initializing,ระยะเวลา Initializing (seconds),จำนวนครั้ง Telemetry Failure,ระยะเวลา Telemetry Failure (seconds),จำนวนครั้ง Offline,ระยะเวลา Offline (seconds),Availability Period
1BPC01_S,BERKPRAI COGEN,-,กฟส.บ้านโป่ง,โรงไฟฟ้า,SPP-Substation,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
1BPU01_S,BAN PONG UTILITY,-,กฟส.บ้านโป่ง,โรงไฟฟ้า,SPP-Substation,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
1RWC01_S,RATCHABURI WORLD COGEN 1,-,กฟส.ราชบุรี,โรงไฟฟ้า,SPP-Substation,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
1RWC02_S,RATCHABURI WORLD COGEN 2,-,กฟส.ราชบุรี,โรงไฟฟ้า,SPP-Substation,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
2ENS01_S,ENERGY SERV SOLARCELL,-,กฟส.เขาย้อย,โรงไฟฟ้า,VSPP-Substation,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
2EQU01_S,EQUATOR SOLARCELL,-,กฟส.ชะอำ,โรงไฟฟ้า,VSPP-Substation,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
BPB_S,BAN PONG 2,สถานีไฟฟ้าบ้านโป่ง 2,กฟส.บ้านโป่ง,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
BPC_S,BAN PONG 3,สถานีไฟฟ้าบ้านโป่ง 3,กฟส.บ้านโป่ง,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
BSP_S,BANG SAPHAN 1,สถานีไฟฟ้าบางสะพาน 1,กฟส.บางสะพาน,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
BSR_S,BANG SAPHAN 2,สถานีไฟฟ้าบางสะพาน 2,กฟส.บางสะพาน,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
CAA_S,CHA AM 1,สถานีไฟฟ้าชะอำ 1,กฟส.ชะอำ,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
CAB_S,CHA AM 2,สถานีไฟฟ้าชะอำ 1,กฟส.ชะอำ,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
CAC_S,CHA AM 3,สถานีไฟฟ้าชะอำ 3,กฟส.ชะอำ,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
CBN_S,CHOM BUNG,สถานีไฟฟ้าจอมบึง,กฟส.จอมบึง,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
CPA_S,CHUMPHON 1,สถานีไฟฟ้าชุมพร 1,กฟส.ชุมพร,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
CPB_S,CHUMPHON 2,สถานีไฟฟ้าชุมพร 2,กฟส.ชุมพร,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
DNA_S,DAMNOEN SADUAK,สถานีไฟฟ้าดำเนินสะดวก,กฟส.ดำเนินสะดวก,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
HUB_S,HUA HIN 2,สถานีไฟฟ้าหัวหิน 2,กฟส.หัวหิน,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
HUC_S,HUA HIN 3,สถานีไฟฟ้าหัวหิน 3,กฟส.หัวหิน,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
HUU_S,HUA HIN 4,สถานีไฟฟ้าหัวหิน 4,กฟส.หัวหิน,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
KHY_S,KHAO YOI 1,สถานีไฟฟ้าเขาย้อย 1,กฟส.เขาย้อย,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
KHZ_S,KHAO YOI 2,สถานีไฟฟ้าเขาย้อย 2,กฟส.เขาย้อย,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
KUA_S,KUI BURI,สถานีไฟฟ้ากุยบุรี,กฟส.กุยบุรี,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
LSA_S,LANG SUAN,สถานีไฟฟ้าหลังสวน,กฟส.หลังสวน,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
NOM_S,NONG PLA MO,สถานีไฟฟ้าหนองปลาหมอ,กฟส.บ้านโป่ง,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
PBA_S,PHETCHABURI 1,สถานีไฟฟ้าเพชรบุรี 1,กฟส.เพชรบุรี,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
PBB_S,PHETCHABURI 2,สถานีไฟฟ้าเพชรบุรี 2,กฟส.เพชรบุรี,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
PDA_S,PRACHUAP KHIRI KHAN,สถานีไฟฟ้าประจวบคีรีขันธ์,กฟส.ประจวบคีรีขันธ์,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
PNA_S,PRAN BURI,สถานีไฟฟ้าปราณบุรี,กฟส.ปราณบุรี,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
PTH_S,PAKTHO 1,สถานีไฟฟ้าปากท่อ 1,กฟส.ปากท่อ,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
PTI_S,PAKTHO 2,สถานีไฟฟ้าปากท่อ 2,กฟส.ปากท่อ,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
PTR_S,PHOTHARAM 1,สถานีไฟฟ้าโพธาราม 1,กฟส.โพธาราม,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
PTS_S,PHOTHARAM 2,สถานีไฟฟ้าโพธาราม 2,กฟส.โพธาราม,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
QTA_S,PATHIO,สถานีไฟฟ้าปะทิว,กฟส.ปะทิว,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
RBA_S,RATCHABURI 1,สถานีไฟฟ้าราชบุรี 1,กฟส.ราชบุรี,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
RBBHV_S,RATCHABURI 2 (115 kV),สถานีไฟฟ้าราชบุรี(ลานไก),กฟส.ราชบุรี,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
RBBMV_S,RATCHABURI 2,สถานีไฟฟ้าราชบุรี 2,กฟส.ราชบุรี,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
RBC_S,RATCHABURI 3,สถานีไฟฟ้าราชบุรี 3,กฟส.ราชบุรี,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
RBU_S,RATCHABURI 3 (TEMPORARY),สถานีไฟฟ้าราชบุรี 3 (ชั่วคราว),กฟส.ราชบุรี,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
RIU_S,RATCHABURI INDUSTRIAL ESTATE,สถานีไฟฟ้านิคมอุตสาหกรรมราชบุรี (ชั่วคราว),กฟส.ราชบุรี,สถานีไฟฟ้า,CSCS/SCPS,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01
