Device,Description,สถานที่,การไฟฟ้า,สถานที่ติดตั้ง,ประเภทอุปกรณ์,Availability (%),จำนวนครั้ง Online,ระยะเวลา Online (seconds),จำนวนครั้ง Connecting,ระยะเวลา Connecting (seconds),จำนวนครั้ง Initializing,ระยะเวลา Initializing (seconds),จำนวนครั้ง Telemetry Failure,ระยะเวลา Telemetry Failure (seconds),จำนวนครั้ง Offline,ระยะเวลา Offline (seconds),Availability Period
1BPC01_S,BERKPRAI COGEN,-,กฟส.บ้านโป่ง,โรงไฟฟ้า,SPP-Substation,35.34,11.00,5.19,1.00,0.12,11.00,9.23,0.00,0.00,2.00,0.15,2025-01
1BPU01_S,BAN PONG UTILITY,-,กฟส.บ้านโป่ง,โรงไฟฟ้า,SPP-Substation,99.77,9.00,812.65,2.00,0.02,10.00,1.57,0.00,0.00,2.00,0.25,2025-01
1RWC01_S,RATCHABURI WORLD COGEN 1,-,กฟส.ราชบุรี,โรงไฟฟ้า,SPP-Substation,99.93,17.00,4682.62,2.00,0.25,10.00,0.29,5.00,2.94,1.00,0.02,2025-01
1RWC02_S,RATCHABURI WORLD COGEN 2,-,กฟส.ราชบุรี,โรงไฟฟ้า,SPP-Substation,96.62,17.00,2251.61,0.00,0.00,11.00,5.54,6.00,71.79,2.00,1.44,2025-01
2ENS01_S,ENERGY SERV SOLARCELL,-,กฟส.เขาย้อย,โรงไฟฟ้า,VSPP-Substation,86.26,43.00,34054.13,6.00,316.38,42.00,1310.86,12.00,3797.36,2.00,0.95,2025-01
2EQU01_S,EQUATOR SOLARCELL,-,กฟส.ชะอำ,โรงไฟฟ้า,VSPP-Substation,99.96,1.00,1355.12,0.00,0.00,10.00,0.55,0.00,0.00,0.00,0.00,2025-01
BPA_S,,,,,,9.89,10.00,3.99,10.00,1.27,10.00,34.25,0.00,0.00,11.00,0.87,2025-01
BPB_S,BAN PONG 2,สถานีไฟฟ้าบ้านโป่ง 2,กฟส.บ้านโป่ง,สถานีไฟฟ้า,CSCS/SCPS,95.79,40.00,31215.86,15.00,1268.96,15.00,43.63,24.00,57.44,10.00,2.92,2025-01
BPC_S,BAN PONG 3,สถานีไฟฟ้าบ้านโป่ง 3,กฟส.บ้านโป่ง,สถานีไฟฟ้า,CSCS/SCPS,43.17,12.00,13.28,12.00,4.41,12.00,9.87,0.00,0.00,11.00,3.19,2025-01
BSP_S,BANG SAPHAN 1,สถานีไฟฟ้าบางสะพาน 1,กฟส.บางสะพาน,สถานีไฟฟ้า,CSCS/SCPS,53.85,12.00,56.35,11.00,5.07,11.00,28.01,1.00,7.92,11.00,7.29,2025-01
