Device,Description,สถานที่,การไฟฟ้า,สถานที่ติดตั้ง,ประเภทอุปกรณ์,Availability (%),จำนวนครั้ง Online,ระยะเวลา Online (seconds),จำนวนครั้ง Connecting,ระยะเวลา Connecting (seconds),จำนวนครั้ง Initializing,ระยะเวลา Initializing (seconds),จำนวนครั้ง Telemetry Failure,ระยะเวลา Telemetry Failure (seconds),จำนวนครั้ง Offline,ระยะเวลา Offline (seconds),Availability Period
1BPC01_S,BERKPRAI COGEN,-,กฟส.บ้านโป่ง,โรงไฟฟ้า,SPP-Substation,71.73,3,0.24,0,0.00,2,0.01,1,0.00,1,0.09,2025-03
1BPU01_S,BAN PONG UTILITY,-,กฟส.บ้านโป่ง,โรงไฟฟ้า,SPP-Substation,98.29,5,419.14,2,5.01,4,2.12,1,0.14,0,0.00,2025-03
1RWC01_S,RATCHABURI WORLD COGEN 1,-,กฟส.ราชบุรี,โรงไฟฟ้า,SPP-Substation,99.94,19,100834.43,0,0.00,2,0.88,17,55.12,0,0.00,2025-03
1RWC02_S,RATCHABURI WORLD COGEN 2,-,กฟส.ราชบุรี,โรงไฟฟ้า,SPP-Substation,99.98,15,48605.77,2,0.13,2,0.01,13,9.94,1,0.15,2025-03
2ENS01_S,ENERGY SERV SOLARCELL,-,กฟส.เขาย้อย,โรงไฟฟ้า,VSPP-Substation,0.00,0,0.00,1,0.01,3,214.99,0,0.00,1,4.04,2025-03
2EQU01_S,EQUATOR SOLARCELL,-,กฟส.ชะอำ,โรงไฟฟ้า,VSPP-Substation,96.79,2,0.15,0,0.00,2,0.01,0,0.00,0,0.00,2025-03
BPA_S,,,,,,99.69,8,12213.44,2,0.12,2,0.98,6,36.16,2,0.15,2025-03
BPB_S,BAN PONG 2,สถานีไฟฟ้าบ้านโป่ง 2,กฟส.บ้านโป่ง,สถานีไฟฟ้า,CSCS/SCPS,99.41,76,364707.79,8,1841.95,10,67.91,66,262.65,2,1.64,2025-03
BPC_S,BAN PONG 3,สถานีไฟฟ้าบ้านโป่ง 3,กฟส.บ้านโป่ง,สถานีไฟฟ้า,CSCS/SCPS,98.55,4,8485.28,3,119.93,3,2.00,1,1.02,2,1.57,2025-03
BSP_S,BANG SAPHAN 1,สถานีไฟฟ้าบางสะพาน 1,กฟส.บางสะพาน,สถานีไฟฟ้า,CSCS/SCPS,98.21,10,14465.57,10,244.76,10,16.78,0,0.00,3,2.50,2025-03
