Device,Description,สถานที่,การไฟฟ้า,สถานที่ติดตั้ง,ประเภทอุปกรณ์,Availability (%),จำนวนครั้ง Online,ระยะเวลา Online (seconds),จำนวนครั้ง Connecting,ระยะเวลา Connecting (seconds),จำนวนครั้ง Initializing,ระยะเวลา Initializing (seconds),จำนวนครั้ง Telemetry Failure,ระยะเวลา Telemetry Failure (seconds),จำนวนครั้ง Offline,ระยะเวลา Offline (seconds)
S1-AVR-0003,PTH04A-01,AVR สุสานสีตะศาลา,กฟส.ปากท่อ,ระบบจำหน่าย,FRTU-AVR,54.69,216.00,1514.86,206.00,775.76,209.00,434.00,11.00,45.18,0.00,0.00
S1-AVR-0004,RBB08A-01,AVR ตรงข้ามบริษัท VCF ฟีดมิลด์,กฟส.ปากท่อ,ระบบจำหน่าย,FRTU-AVR,62.10,210.00,1667.16,198.00,547.87,201.00,424.56,14.00,45.04,0.00,0.00
S1-AVR-0005,PBA06A-01,AVR หลังโครงการชั่งหัวมัน,กฟส.ท่ายาง,ระบบจำหน่าย,FRTU-AVR,49.49,163.00,1160.04,156.00,607.83,157.00,391.70,26.00,184.43,0.00,0.00
S1-AVR-0006,HUU03A-01,"AVR หนองพลับ,ป่าเต็ง",กฟส.หัวหิน,ระบบจำหน่าย,FRTU-AVR,60.38,244.00,2291.01,221.00,867.82,223.00,432.84,41.00,202.77,0.00,0.00
S1-AVR-0007,TSE05A-01,AVR นิดาคาร์แคร์,กฟส.ท่าแซะ,ระบบจำหน่าย,FRTU-AVR,68.20,39.00,101.67,31.00,24.34,34.00,16.86,5.00,6.20,0.00,0.00
S1-AVR-0008,LSA03A-01,AVR ไลน์พะโต๊ะ,กฟส.หลังสวน,ระบบจำหน่าย,FRTU-AVR,68.34,31.00,34.65,25.00,3.73,27.00,4.15,4.00,8.17,0.00,0.00
S1-AVR-0009,LSA09A-01,AVR เขาชะมด,กฟส.หลังสวน,ระบบจำหน่าย,FRTU-AVR,0.00,0.00,0.00,234.00,973.23,237.00,1979.62,0.00,0.00,0.00,0.00
S1-AVR-0010,LSA10A-01,AVR ละแมฟาร์มกุ้ง,กฟส.หลังสวน,ระบบจำหน่าย,FRTU-AVR,58.12,566.00,4986.35,565.00,2245.02,568.00,1257.10,28.00,90.26,0.00,0.00
S1-AVR-0011,CPA08A-01,AVR บ้านปากจั่น,กฟส.ชุมพร,ระบบจำหน่าย,FRTU-AVR,60.09,20.00,23.76,18.00,0.09,22.00,3.39,1.00,12.30,0.00,0.00
S1-AVR-0012,XPA04A-01,AVR บ้านคา,กฟส.สวนผึ้ง,ระบบจำหน่าย,FRTU-AVR,56.83,966.00,11235.23,978.00,5083.64,981.00,2831.70,143.00,620.30,0.00,0.00
