Device,Description,สถานที่,การไฟฟ้า,สถานที่ติดตั้ง,ประเภทอุปกรณ์,Availability (%),จำนวนครั้ง Online,ระยะเวลา Online (seconds),จำนวนครั้ง Connecting,ระยะเวลา Connecting (seconds),จำนวนครั้ง Initializing,ระยะเวลา Initializing (seconds),จำนวนครั้ง Telemetry Failure,ระยะเวลา Telemetry Failure (seconds),จำนวนครั้ง Offline,ระยะเวลา Offline (seconds)
1BPC01_S,BERKPRAI COGEN,-,กฟส.บ้านโป่ง,โรงไฟฟ้า,SPP-Substation,80.85,4.00,11.79,1.00,1.02,4.00,1.77,0.00,0.00,0.00,0.00
1BPU01_S,BAN PONG UTILITY,-,กฟส.บ้านโป่ง,โรงไฟฟ้า,SPP-Substation,99.15,4.00,581.38,1.00,2.93,4.00,2.04,0.00,0.00,0.00,0.00
1RWC01_S,RATCHABURI WORLD COGEN 1,-,กฟส.ราชบุรี,โรงไฟฟ้า,SPP-Substation,99.95,15.00,29868.40,0.00,0.00,3.00,0.03,11.00,16.37,0.00,0.00
1RWC02_S,RATCHABURI WORLD COGEN 2,-,กฟส.ราชบุรี,โรงไฟฟ้า,SPP-Substation,99.97,9.00,39245.61,0.00,0.00,3.00,0.47,8.00,9.34,0.00,0.00
2ENS01_S,ENERGY SERV SOLARCELL,-,กฟส.เขาย้อย,โรงไฟฟ้า,VSPP-Substation,57.11,16.00,29172.67,1.00,0.01,17.00,503.00,6.00,21406.28,2.00,2.10
2EQU01_S,EQUATOR SOLARCELL,-,กฟส.ชะอำ,โรงไฟฟ้า,VSPP-Substation,96.69,5.00,555.10,1.00,2.88,3.00,0.03,1.00,15.25,1.00,0.84
BPA_S,,,,,,99.55,4.00,1875.74,3.00,0.18,3.00,1.20,1.00,6.24,3.00,0.92
BPB_S,BAN PONG 2,สถานีไฟฟ้าบ้านโป่ง 2,กฟส.บ้านโป่ง,สถานีไฟฟ้า,CSCS/SCPS,99.44,41.00,173736.02,7.00,840.91,8.00,22.34,33.00,122.84,3.00,0.89
BPC_S,BAN PONG 3,สถานีไฟฟ้าบ้านโป่ง 3,กฟส.บ้านโป่ง,สถานีไฟฟ้า,CSCS/SCPS,3.70,3.00,0.50,3.00,0.38,3.00,11.90,0.00,0.00,3.00,0.71
BSP_S,BANG SAPHAN 1,สถานีไฟฟ้าบางสะพาน 1,กฟส.บางสะพาน,สถานีไฟฟ้า,CSCS/SCPS,99.93,5.00,12186.61,5.00,3.86,4.00,2.16,0.00,0.00,3.00,2.08
