Device,Description,Availability (%),จำนวนครั้ง Online,ระยะเวลา Online (seconds),จำนวนครั้ง Connecting,ระยะเวลา Connecting (seconds),จำนวนครั้ง Initializing,ระยะเวลา Initializing (seconds),จำนวนครั้ง Telemetry Failure,ระยะเวลา Telemetry Failure (seconds),จำนวนครั้ง Offline,ระยะเวลา Offline (seconds)
S1-AVR-0003,PTH04A-01,54.69194976691526,216.0,1514.862,206.0,775.765,209.0,433.998,11.0,45.183,0.0,0.0
S1-AVR-0004,RBB08A-01,62.10015063494642,210.0,1667.163,198.0,547.867,201.0,424.565,14.0,45.041,0.0,0.0
S1-AVR-0005,PBA06A-01,49.48986622400323,163.0,1160.039,156.0,607.825,157.0,391.699,26.0,184.43,0.0,0.0
S1-AVR-0006,HUU03A-01,60.37806359355701,244.0,2291.01,221.0,867.823,223.0,432.83799999999997,41.0,202.76999999999998,0.0,0.0
S1-AVR-0007,TSE05A-01,68.20188089456526,39.0,101.674,31.0,24.343,34.0,16.86,5.0,6.201,0.0,0.0
S1-AVR-0008,LSA03A-01,68.34059843389414,31.0,34.647999999999996,25.0,3.729,27.0,4.149,4.0,8.173,0.0,0.0
S1-AVR-0009,LSA09A-01,0.0,0.0,0.0,234.0,973.233,237.0,1979.624,0.0,0.0,1.0,0.001
S1-AVR-0010,LSA10A-01,58.124588517469235,566.0,4986.355,565.0,2245.017,568.0,1257.1,28.0,90.264,0.0,0.0
S1-AVR-0011,CPA08A-01,60.08649906419142,20.0,23.757,18.0,0.091,22.0,3.394,1.0,12.296,0.0,0.0
S1-AVR-0012,XPA04A-01,56.82719933324118,966.0,11235.23,978.0,5083.64,981.0,2831.701,143.0,620.296,0.0,0.0
S1-AVR-0013,XPA01A-01,54.71280427381371,212.0,1609.451,191.0,744.921,193.0,445.108,31.0,142.155,0.0,0.0
S1-CSW-0001,PBA01YB-01,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
S1-LBS-0001,RBB02YS-20,41.513811336244835,3957.0,39053.443,4041.0,26832.609,4040.0,24650.942,646.0,3536.379,1.0,0.001
S1-LBS-0002,RBB05YS-05,51.68281855105318,144.0,820.749,132.0,462.042,135.0,243.801,19.0,61.458,0.0,0.0
S1-LBS-0003,KHY04YS-07,50.584068520822456,1571.0,14029.543,1647.0,7033.061,1650.0,6038.316,180.0,634.182,0.0,0.0
S1-LBS-0004,RBB04YS-05,31.730342564935647,761.0,6033.115,794.0,6430.39,799.0,6511.313,11.0,38.891,0.0,0.0
