Device,Description,Availability (%),จำนวนครั้ง Online,ระยะเวลา Online (seconds),จำนวนครั้ง Connecting,ระยะเวลา Connecting (seconds),จำนวนครั้ง Initializing,ระยะเวลา Initializing (seconds),จำนวนครั้ง Telemetry Failure,ระยะเวลา Telemetry Failure (seconds),จำนวนครั้ง Offline,ระยะเวลา Offline (seconds)
S1-AVR-0003,PTH04A-01,58.10020051215723,315.0,1965.725,367.0,819.1899999999999,375.0,581.651,11.0,16.77,0.0,0.0
S1-AVR-0004,RBB08A-01,61.486300545372885,293.0,1803.079,329.0,640.168,337.0,488.276,9.0,0.9660000000000001,0.0,0.0
S1-AVR-0005,PBA06A-01,50.82036414158778,260.0,1433.861,277.0,717.649,288.0,451.678,43.0,218.242,0.0,0.0
S1-AVR-0006,HUU03A-01,63.366996366342065,267.0,2054.128,301.0,688.453,307.0,499.009,5.0,0.047,0.0,0.0
S1-AVR-0007,TSE05A-01,19.076640957877135,103.0,24.759,147.0,63.951,157.0,41.052,4.0,0.024999999999999998,0.0,0.0
S1-AVR-0008,LSA03A-01,32.0377438721892,126.0,63.288000000000004,163.0,100.567,180.0,33.665,2.0,0.022,0.0,0.0
S1-AVR-0009,LSA09A-01,0.0,0.0,0.0,152.0,268.961,158.0,500.13,0.0,0.0,4.0,0.004
S1-AVR-0010,LSA10A-01,64.81742147504586,707.0,5823.728,772.0,1834.085,778.0,1326.969,3.0,0.037000000000000005,0.0,0.0
S1-AVR-0011,CPA08A-01,34.76328911295516,117.0,37.787,156.0,29.779999999999998,168.0,33.821999999999996,4.0,7.309,0.0,0.0
S1-AVR-0012,XPA04A-01,48.36966980065491,3275.0,30587.783,3539.0,19973.145,3547.0,10263.295,535.0,2413.304,0.0,0.0
S1-AVR-0013,XPA01A-01,53.33669048197236,344.0,2086.558,387.0,1065.753,393.0,662.31,17.0,97.429,0.0,0.0
S1-CSW-0001,PBA01YB-01,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
S1-LBS-0001,RBB02YS-20,42.21285964772954,5709.0,60744.354,5781.0,42109.487,5807.0,35572.487,995.0,5473.788,0.0,0.0
S1-LBS-0002,RBB05YS-05,46.87353637700949,332.0,1207.969,339.0,876.053,363.0,493.005,2.0,0.053000000000000005,1.0,0.001
S1-LBS-0003,KHY04YS-07,60.74307714393975,4938.0,50689.454,5085.0,19127.548,5103.0,12536.236,384.0,1095.702,0.0,0.0
S1-LBS-0004,RBB04YS-05,35.86274038603685,573.0,3699.511,609.0,3467.86,618.0,3144.307,2.0,4.073,0.0,0.0
S1-LBS-0005,PTR03YS-06,26.925503720633042,661.0,5451.523,955.0,7335.325,970.0,7459.83,2.0,0.011,0.0,0.0
S1-LBS-0006,BSP03YS-09,50.25390991813753,115.0,545.864,118.0,314.0,128.0,220.181,9.0,6.167,0.0,0.0
S1-LBS-0007,BSP03YS-08,34.509171606710055,52.0,101.233,53.0,63.48,63.0,123.797,12.0,4.841,0.0,0.0
S1-LBS-0008,BSP02YS-10,54.99403103859929,50.0,102.268,41.0,49.388,51.0,32.375,8.0,1.931,0.0,0.0
S1-LBS-0009,BSP01YS-07,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
S1-LBS-0010,BSP02YS-08,43.26187953378434,36.0,26.539,28.0,21.632,41.0,13.049,10.0,0.125,0.0,0.0
S1-LBS-0011,RBB02YS-10,42.79824937157353,142.0,257.77299999999997,157.0,192.442,175.0,151.156,7.0,0.927,0.0,0.0
S1-LBS-0012,TSE03YS-05,33.48013748604481,173.0,342.774,198.0,532.741,212.0,147.88,3.0,0.41800000000000004,0.0,0.0
S1-LBS-0013,TSE03YS-08,52.43312079357171,143.0,414.617,172.0,228.101,180.0,121.5,5.0,19.368,3.0,7.168
S1-LBS-0014,RBB03YS-06,28.848511222165087,1772.0,19598.91,1741.0,18381.859,1767.0,15699.244,1638.0,14247.63,1.0,9.693
S1-LBS-0015,CAB04YS-07,36.13407195172177,2876.0,28738.51,3078.0,22835.740999999998,3097.0,19006.754,1483.0,8951.991,0.0,0.0
S1-LBS-0016,HUB02YS-07,73.33357576922526,370.0,2823.207,364.0,532.017,376.0,494.287,10.0,0.304,0.0,0.0
S1-LBS-0017,CPB02YS-03,77.3911599726747,178.0,1384.387,176.0,192.82,184.0,211.461,10.0,0.15,0.0,0.0
S1-LBS-0018,RBB03YS-07,79.62152750852978,253.0,2628.6059999999998,244.0,336.677,255.0,328.729,16.0,7.364,0.0,0.0
S1-LBS-0019,PTR07YS-04,76.42792731400492,227.0,1637.45,234.0,213.945,243.0,289.798,11.0,1.2829999999999997,0.0,0.0
S1-LBS-0020,RBB05YS-15,40.241332104886645,158.0,293.074,164.0,229.163,176.0,206.038,3.0,0.016,0.0,0.0
S1-LBS-0021,PTH04YS-05,37.92919251723183,444.0,4045.203,466.0,3682.074,476.0,2850.208,10.0,87.659,0.0,0.0
S1-LBS-0022,BPB05YS-04,34.465768174636295,1029.0,9885.696,1053.0,9330.639,1065.0,9437.717,6.0,28.599,0.0,0.0
S1-LBS-0023,BPB01YS-04,39.60084349366696,95.0,869.4879999999999,82.0,541.219,92.0,748.733,7.0,36.19,0.0,0.0
S1-LBS-0024,BPB05YS-07,37.142451142785895,466.0,4629.083,516.0,4153.599,529.0,3600.601,14.0,79.769,0.0,0.0
S1-RCS-0001,BSP10S-19,59.728981259914505,16.0,66.645,4.0,12.238,15.0,12.311,2.0,18.308,1.0,2.077
S1-RCS-0002,BSR06S-09,7.630878438331856,9.0,0.43000000000000005,1.0,4.034,9.0,1.171,0.0,0.0,0.0,0.0
S1-RCS-0003,HUB05S-51,63.066520158904574,21.0,37.307,5.0,10.878,14.0,4.984999999999999,6.0,5.985,0.0,0.0
S1-RCS-0004,BSP09S-09,23.24027678358387,13.0,8.766,3.0,22.286,12.0,6.667,0.0,0.0,0.0,0.0
S1-RCS-0005,BSR07S-08,55.705922673632344,16.0,60.139,3.0,9.336,13.0,26.405,5.0,12.078,0.0,0.0
S1-RCS-0006,BSP09S-15,38.984159536100705,15.0,44.102000000000004,5.0,50.558,15.0,13.149999999999999,2.0,5.318,0.0,0.0
S1-RCS-0007,CBN04S-28,56.490681213065784,18.0,69.592,6.0,17.573999999999998,16.0,28.796999999999997,4.0,7.229,0.0,0.0
S1-RCS-0008,TSE02S-27,54.25642332975217,18.0,89.388,5.0,24.739,14.0,6.786,6.0,43.838,0.0,0.0
S1-RCS-0009,TSE09S-11,41.730866817364024,12.0,9.046,1.0,9.833,11.0,2.798,0.0,0.0,0.0,0.0
S1-RCS-0010,CAB04S-08,58.07715298236625,19.0,54.409,2.0,6.123,12.0,6.103999999999999,7.0,27.048,0.0,0.0
S1-RCS-0011,CAB10S-14,24.643418158969528,17.0,7.844,8.0,20.388,17.0,3.598,0.0,0.0,0.0,0.0
S1-RCS-0012,CAA06S-07,49.948402844998114,50.0,296.706,13.0,48.194,23.0,59.62,37.0,189.505,0.0,0.0
S1-RCS-0013,CAA03S-13,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
S1-RCS-0014,CAA03S-10,50.88876472310698,63.0,340.627,11.0,67.799,21.0,44.001,55.0,216.929,0.0,0.0
S1-RCS-0015,CAB09S-10,12.729948491537895,10.0,0.173,0.0,0.0,10.0,1.186,0.0,0.0,0.0,0.0
S1-RCS-0016,CAA03S-05,58.186569744024,25.0,183.464,5.0,18.192,15.0,25.966,12.0,87.68100000000001,0.0,0.0
S1-RCS-0017,CAB10S-12,50.306748466257666,13.0,4.92,1.0,2.408,11.0,1.277,1.0,1.175,0.0,0.0
S1-RCS-0018,CAB04S-05,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
S1-RCS-0019,HUB09S-06,0.0,0.0,0.0,1.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
S1-RCS-0020,HUB06S-03,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
S1-RCS-0021,PBB04S-04,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
S1-RCS-0022,CAB05S-12,19.300518134715023,9.0,0.149,0.0,0.0,9.0,0.623,0.0,0.0,0.0,0.0
S1-RCS-0023,CAA06S-05,45.72301201907231,20.0,62.427,11.0,46.838,20.0,19.238999999999997,2.0,8.029,0.0,0.0
S1-RCS-0024,CPB07S-10,43.63016616957818,10.0,45.056,10.0,24.655,10.0,33.557,0.0,0.0,0.0,0.0
S1-RCS-0025,CPA03S-05,28.98828876571325,15.0,60.718,7.0,81.368,19.0,40.976,4.0,26.395000000000003,0.0,0.0
S1-RCS-0026,RNB08S-16,32.255995895857374,13.0,7.545,4.0,13.878,14.0,1.9679999999999997,0.0,0.0,0.0,0.0
S1-RCS-0027,RNB07S-16,45.253263707571804,13.0,8.666,2.0,2.774,11.0,7.709999999999999,0.0,0.0,0.0,0.0
S1-RCS-0028,TSE08S-04,53.29091776682042,11.0,16.752,2.0,7.195,11.0,7.4879999999999995,0.0,0.0,0.0,0.0
S1-RCS-0029,TSE07S-13,56.70431960465281,164.0,327.248,178.0,146.273,190.0,103.515,8.0,0.077,0.0,0.0
S1-RCS-0030,TSE07S-11,50.74904293040892,416.0,2831.824,409.0,2053.794,426.0,465.569,59.0,228.867,0.0,0.0
S1-RCS-0031,RIU01S-04,66.35657830314052,15.0,28.461,4.0,2.991,15.0,11.439,0.0,0.0,0.0,0.0
S1-RCS-0032,CAA07S-07,41.5506958250497,14.0,2.09,3.0,2.239,13.0,0.7010000000000001,0.0,0.0,0.0,0.0
S1-RCS-0033,CPA01S-10,45.15373455225576,15.0,25.832,4.0,16.283,13.0,6.9510000000000005,3.0,8.143,0.0,0.0
S1-RCS-0034,TSE05S-06,55.205066224504066,15.0,27.634,4.0,12.53,15.0,5.779,2.0,4.114,0.0,0.0
S1-RCS-0035,TSE08S-10,4.000475539440052,1.0,2.019,6.0,17.475,14.0,25.793,0.0,0.0,3.0,5.182
S1-RCS-0036,CPB07S-06,35.3246214478324,18.0,25.544999999999998,4.0,12.431000000000001,14.0,8.861,6.0,25.478,0.0,0.0
S1-RCS-0037,CPB10S-08,17.187642394969473,16.0,5.6579999999999995,3.0,10.187,12.0,11.026,4.0,6.048,0.0,0.0
S1-RCS-0038,CPB08S-07,10.674853037230568,1.0,20.429,8.0,59.083,18.0,111.861,0.0,0.0,2.0,0.002
S1-RCS-0039,CPB06S-09,45.438991714239386,23.0,106.499,7.0,63.886,17.0,19.955000000000002,6.0,44.038,0.0,0.0
S1-RCS-0040,DNA07S-09,50.825181797864836,7.0,59.129,7.0,26.146,5.0,28.606,4.0,2.457,0.0,0.0
S1-RCS-0041,DNA07S-10,40.29876511704957,72.0,375.842,33.0,210.12,41.0,130.366,47.0,216.311,0.0,0.0
S1-RCS-0042,DNA02S-12,28.358549426665668,80.0,605.421,62.0,642.7049999999999,69.0,337.325,63.0,549.429,0.0,0.0
S1-RCS-0043,DNA02S-17,52.35243084520671,23.0,31.378999999999998,14.0,9.568,25.0,18.991,0.0,0.0,0.0,0.0
S1-RCS-0044,DNA01S-10,55.49338029087589,20.0,42.544000000000004,5.0,13.357,16.0,9.517,7.0,11.247,0.0,0.0
S1-RCS-0045,CAB10S-04,74.14693954541168,12.0,39.309,1.0,10.242,11.0,3.464,0.0,0.0,0.0,0.0
S1-RCS-0046,HUB05S-03,31.523136650514914,79.0,75.27,72.0,121.037,83.0,37.085,3.0,5.385,0.0,0.0
S1-RCS-0047,HUB04S-10,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
S1-RCS-0048,CAB05S-08,45.232177894048405,11.0,10.374,2.0,7.288,10.0,5.248,0.0,0.0,1.0,0.025
S1-RCS-0049,HUB05S-04,29.220136323826207,17.0,15.347,6.0,11.298,17.0,16.802,1.0,9.075,0.0,0.0
S1-RCS-0050,CAA04S-11,67.00368615060557,16.0,12.724,4.0,1.097,15.0,1.1340000000000001,2.0,4.035,0.0,0.0
S1-RCS-0051,KDA01S-20,39.32484528761287,18.0,31.01,5.0,23.817999999999998,15.0,18.85,2.0,5.178,0.0,0.0
S1-RCS-0052,KHY10S-03,92.31933409004918,10.0,2.44,0.0,0.0,10.0,0.20299999999999999,0.0,0.0,0.0,0.0
S1-RCS-0053,KHY09S-12,63.52013267510027,14.0,65.878,2.0,5.147,12.0,8.343,4.0,24.344,0.0,0.0
S1-RCS-0054,KHY10S-08,42.19582762296331,16.0,8.313,5.0,3.943,15.0,7.43,1.0,0.015,0.0,0.0
S1-RCS-0055,KHZ01S-10,47.52404702529391,16.0,13.34,5.0,11.41,14.0,2.276,1.0,1.044,0.0,0.0
S1-RCS-0056,KHY08S-04,48.8884113913851,14.0,63.706,3.0,38.413,12.0,13.925,2.0,14.265,0.0,0.0
S1-RCS-0057,KHY02S-14,64.20778717928279,25.0,112.76299999999999,4.0,13.052,14.0,9.606,11.0,40.201,0.0,0.0
S1-RCS-0058,CPA08S-09,25.02220296761616,18.0,23.102999999999998,4.0,23.445,13.0,10.291,8.0,35.491,0.0,0.0
