Device,Description,Availability (%),จำนวนครั้ง Online,ระยะเวลา Online (seconds),จำนวนครั้ง Connecting,ระยะเวลา Connecting (seconds),จำนวนครั้ง Initializing,ระยะเวลา Initializing (seconds),จำนวนครั้ง Telemetry Failure,ระยะเวลา Telemetry Failure (seconds),จำนวนครั้ง Offline,ระยะเวลา Offline (seconds)
S1-AVR-0003,PTH04A-01,56.31,711.00,3949.56,262.00,842.12,264.00,534.46,490.00,1687.71,0.00,0.00
S1-AVR-0004,RBB08A-01,59.66,819.00,4988.99,242.00,689.29,244.00,524.72,633.00,2159.87,0.00,0.00
S1-AVR-0005,PBA06A-01,100.00,,,0.00,0.00,0.00,0.00,0.00,0.00,,
S1-AVR-0006,HUU03A-01,56.09,462.00,2751.31,214.00,682.40,216.00,563.85,266.00,908.03,0.00,0.00
S1-AVR-0007,TSE05A-01,57.51,297.00,1440.64,87.00,132.57,89.00,114.00,231.00,817.88,0.00,0.00
S1-AVR-0008,LSA03A-01,52.27,204.00,735.20,80.00,137.42,82.00,92.06,134.00,441.96,0.00,0.00
S1-AVR-0009,LSA09A-01,0.00,0.00,0.00,185.00,620.32,187.00,1429.75,0.00,0.00,0.00,0.00
S1-AVR-0010,LSA10A-01,58.17,481.00,3023.07,276.00,881.33,278.00,588.87,227.00,703.43,0.00,0.00
S1-AVR-0011,CPA08A-01,47.55,178.00,548.83,62.00,58.58,63.00,35.87,124.00,511.05,0.00,0.00
S1-AVR-0012,XPA04A-01,52.20,1734.00,13805.61,1273.00,6253.59,1275.00,3513.80,774.00,2873.31,0.00,0.00
S1-AVR-0013,XPA01A-01,53.96,612.00,3894.97,305.00,1377.95,308.00,740.65,352.00,1204.88,0.00,0.00
S1-AVR-3300,,0.16,5.00,19.41,593.00,6394.95,596.00,5852.86,3.00,53.98,1.00,21.22
S1-CSW-0001,PBA01YB-01,100.00,,,0.00,0.00,0.00,0.00,0.00,0.00,,
S1-LBS-0001,RBB02YS-20,33.16,60.00,256.24,50.00,287.62,52.00,167.32,29.00,61.45,0.00,0.00
S1-LBS-0002,RBB05YS-05,54.44,623.00,2932.89,203.00,714.66,205.00,342.13,435.00,1397.87,0.00,0.00
S1-LBS-0003,KHY04YS-07,35.97,218.00,1646.16,226.00,1326.71,228.00,1460.06,68.00,143.46,0.00,0.00
