Name,Substation,Description,สถานที่ติดตั้ง,สถานที่,การไฟฟ้า,ประเภทอุปกรณ์,ใช้งาน/ไม่ใช้งาน
1BPC01_S,BERKPRAI COGEN,BERKPRAI COGEN,โรงไฟฟ้า,-,กฟส.บ้านโป่ง,SPP-Substation,ใช้งาน
1BPU01_S,BAN PONG UTILITY,BAN PONG UTILITY,โรงไฟฟ้า,-,กฟส.บ้านโป่ง,SPP-Substation,ใช้งาน
1RWC01_S,RATCHABURI WORLD COGEN 1,RATCHABURI WORLD COGEN 1,โรงไฟฟ้า,-,กฟส.ราชบุรี,SPP-Substation,ใช้งาน
1RWC02_S,RATCHABURI WORLD COGEN 2,RATCHABURI WORLD COGEN 2,โรงไฟฟ้า,-,กฟส.ราชบุรี,SPP-Substation,ใช้งาน
2ENS01_S,ENERGY SERV SOLARCELL,ENERGY SERV SOLARCELL,โรงไฟฟ้า,-,กฟส.เขาย้อย,VSPP-Substation,ใช้งาน
2EQU01_S,EQUATOR SOLARCELL,EQUATOR SOLARCELL,โรงไฟฟ้า,-,กฟส.ชะอำ,VSPP-Substation,ใช้งาน
BPB_S,BAN PONG 2,BAN PONG 2,สถานีไฟฟ้า,สถานีไฟฟ้าบ้านโป่ง 2,กฟส.บ้านโป่ง,CSCS/SCPS,ใช้งาน
BPC_S,BAN PONG 3,BAN PONG 3,สถานีไฟฟ้า,สถานีไฟฟ้าบ้านโป่ง 3,กฟส.บ้านโป่ง,CSCS/SCPS,ใช้งาน
BSP_S,BANG SAPHAN 1,BANG SAPHAN 1,สถานีไฟฟ้า,สถานีไฟฟ้าบางสะพาน 1,กฟส.บางสะพาน,CSCS/SCPS,ใช้งาน
BSR_S,BANG SAPHAN 2,BANG SAPHAN 2,สถานีไฟฟ้า,สถานีไฟฟ้าบางสะพาน 2,กฟส.บางสะพาน,CSCS/SCPS,ใช้งาน
CAA_S,CHA AM 1,CHA AM 1,สถานีไฟฟ้า,สถานีไฟฟ้าชะอำ 1,กฟส.ชะอำ,CSCS/SCPS,ใช้งาน
CAB_S,CHA AM 2,CHA AM 2,สถานีไฟฟ้า,สถานีไฟฟ้าชะอำ 1,กฟส.ชะอำ,CSCS/SCPS,ใช้งาน
CAC_S,CHA AM 3,CHA AM 3,สถานีไฟฟ้า,สถานีไฟฟ้าชะอำ 3,กฟส.ชะอำ,CSCS/SCPS,ใช้งาน
CBN_S,CHOM BUNG,CHOM BUNG,สถานีไฟฟ้า,สถานีไฟฟ้าจอมบึง,กฟส.จอมบึง,CSCS/SCPS,ใช้งาน
CPA_S,CHUMPHON 1,CHUMPHON 1,สถานีไฟฟ้า,สถานีไฟฟ้าชุมพร 1,กฟส.ชุมพร,CSCS/SCPS,ใช้งาน
CPB_S,CHUMPHON 2,CHUMPHON 2,สถานีไฟฟ้า,สถานีไฟฟ้าชุมพร 2,กฟส.ชุมพร,CSCS/SCPS,ใช้งาน
DNA_S,DAMNOEN SADUAK,DAMNOEN SADUAK,สถานีไฟฟ้า,สถานีไฟฟ้าดำเนินสะดวก,กฟส.ดำเนินสะดวก,CSCS/SCPS,ใช้งาน
HUB_S,HUA HIN 2,HUA HIN 2,สถานีไฟฟ้า,สถานีไฟฟ้าหัวหิน 2,กฟส.หัวหิน,CSCS/SCPS,ใช้งาน
