Field change time,Message,Device,Availability Period
2025-04-01 00:00:25.248,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 00:00:25.259,Remote unit state changed from Telemetry Failure to Connecting.,S1-AVR-0003,เม.ย. 2025
2025-04-01 00:01:25.715,Remote unit state changed from Connecting to Initializing.,S1-AVR-0003,เม.ย. 2025
2025-04-01 00:01:26.470,Remote unit state changed from Initializing to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 00:09:20.423,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 00:09:53.030,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 00:12:30.784,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 00:12:31.837,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 00:18:33.087,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 00:18:44.252,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 00:20:16.830,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 00:20:17.782,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 00:40:01.027,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 00:40:11.237,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 00:41:13.215,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 00:41:15.322,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 00:47:25.672,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 00:47:52.044,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 00:52:55.093,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 00:52:58.158,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 00:53:19.542,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 00:54:27.758,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 00:55:09.450,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 00:55:32.862,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 01:13:01.878,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 01:14:37.500,Remote unit state changed from Telemetry Failure to Connecting.,S1-AVR-0003,เม.ย. 2025
2025-04-01 01:14:42.608,Remote unit state changed from Connecting to Initializing.,S1-AVR-0003,เม.ย. 2025
2025-04-01 01:14:43.614,Remote unit state changed from Initializing to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 01:48:31.531,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 01:48:42.734,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 01:53:45.179,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 01:53:46.160,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 01:58:59.605,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 01:59:25.225,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 02:12:30.967,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 02:13:28.008,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 02:22:19.225,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 02:22:22.272,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 02:33:55.180,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 02:33:58.280,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 02:37:05.644,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 02:37:22.958,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
2025-04-01 02:38:42.317,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0003,เม.ย. 2025
2025-04-01 02:39:07.665,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0003,เม.ย. 2025
