Field change time,Message,Device,Availability Period
2025-02-28 23:59:50.365,Remote unit state changed from Connecting to Initializing.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:59:44.228,Remote unit state changed from Online to Connecting.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:59:20.839,Remote unit state changed from Initializing to Online.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:59:18.804,Remote unit state changed from Connecting to Initializing.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:59:13.810,Remote unit state changed from Online to Connecting.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:58:47.242,Remote unit state changed from Initializing to Online.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:58:46.217,Remote unit state changed from Connecting to Initializing.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:58:40.114,Remote unit state changed from Online to Connecting.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:57:25.873,Remote unit state changed from Initializing to Online.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:57:23.862,Remote unit state changed from Connecting to Initializing.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:57:15.656,Remote unit state changed from Online to Connecting.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:53:40.093,Remote unit state changed from Initializing to Online.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:53:38.032,Remote unit state changed from Connecting to Initializing.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:53:35.067,Remote unit state changed from Online to Connecting.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:52:48.255,Remote unit state changed from Initializing to Online.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:52:46.184,Remote unit state changed from Connecting to Initializing.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:52:15.708,Remote unit state changed from Online to Connecting.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:46:52.019,Remote unit state changed from Initializing to Online.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:46:50.006,Remote unit state changed from Connecting to Initializing.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:46:44.870,Remote unit state changed from Online to Connecting.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:46:20.437,Remote unit state changed from Initializing to Online.,S1-AVR-0013,ก.พ. 2025
2025-02-28 23:46:19.468,Remote unit state changed from Connecting to Initializing.,S1-AVR-0013,ก.พ. 2025
2025-02-28 23:45:41.841,Remote unit state changed from Initializing to Online.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:45:39.788,Remote unit state changed from Connecting to Initializing.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:45:34.661,Remote unit state changed from Telemetry Failure to Connecting.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:45:26.511,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:45:25.572,Remote unit state changed from Online to Connecting.,S1-AVR-0013,ก.พ. 2025
2025-02-28 23:37:50.583,Remote unit state changed from Initializing to Online.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:37:48.534,Remote unit state changed from Connecting to Initializing.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:37:43.436,Remote unit state changed from Online to Connecting.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:34:18.945,Remote unit state changed from Initializing to Online.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:34:07.724,Remote unit state changed from Connecting to Initializing.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:33:48.359,Remote unit state changed from Initializing to Online.,S1-AVR-0003,ก.พ. 2025
2025-02-28 23:33:47.336,Remote unit state changed from Connecting to Initializing.,S1-AVR-0003,ก.พ. 2025
2025-02-28 23:33:41.287,Remote unit state changed from Online to Connecting.,S1-AVR-0003,ก.พ. 2025
2025-02-28 23:33:38.195,Remote unit state changed from Initializing to Connecting.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:33:32.159,Remote unit state changed from Connecting to Initializing.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:33:09.718,Remote unit state changed from Online to Connecting.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:30:17.782,Remote unit state changed from Initializing to Online.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:30:15.730,Remote unit state changed from Connecting to Initializing.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:30:10.697,Remote unit state changed from Online to Connecting.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:21:36.926,Remote unit state changed from Initializing to Online.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:21:32.787,Remote unit state changed from Connecting to Initializing.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:21:27.692,Remote unit state changed from Telemetry Failure to Connecting.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:21:21.616,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0010,ก.พ. 2025
2025-02-28 23:12:45.438,Remote unit state changed from Initializing to Online.,S1-AVR-0012,ก.พ. 2025
2025-02-28 23:12:44.424,Remote unit state changed from Connecting to Initializing.,S1-AVR-0012,ก.พ. 2025
2025-02-28 23:12:39.338,Remote unit state changed from Initializing to Connecting.,S1-AVR-0012,ก.พ. 2025
2025-02-28 23:11:05.788,Remote unit state changed from Connecting to Initializing.,S1-AVR-0012,ก.พ. 2025
2025-02-28 23:11:04.815,Remote unit state changed from Online to Connecting.,S1-AVR-0012,ก.พ. 2025
2025-02-28 22:57:45.861,Remote unit state changed from Initializing to Online.,S1-AVR-0010,ก.พ. 2025
