Event Summary - Wednesday, March 26, 2025 3:39:59 PM
 Start Date: 01/01/2025 12:00:00 AM End Date: 01/02/2025 12:00:00 AM
Region contains S1
AND Substation contains S1 FRTU
AND Message contains Remote unit state changed from Online to Initializing.

"#","Process time","Field change time","Message","Note","Type","Region","Subregion","Substation","Feeder","Location","Device","Device type","AOR","Element","RTU","Alias","Severity","Voltage level [kV]","Category","Class","Activity","Inhibit","Source","User name","Console name","Reason source","Reason ID"
"1","31/01/2025 8:08:59.143 PM","31/01/2025 8:08:59.141 PM","Remote unit state changed from Online to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1052","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1052","S1-RCS-1052","BNP05S-18 : Master SSA (Samut Songkhram Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"2","31/01/2025 8:08:38.778 PM","31/01/2025 8:08:38.776 PM","Remote unit state changed from Online to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1052","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1052","S1-RCS-1052","BNP05S-18 : Master SSA (Samut Songkhram Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"3","31/01/2025 2:56:50.038 PM","31/01/2025 2:56:50.036 PM","Remote unit state changed from Online to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0402","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0402","S1-REC-0402","RNB04R-04 : Master LAU (La-un Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"4","31/01/2025 2:24:49.923 PM","31/01/2025 2:24:49.923 PM","Remote unit state changed from Online to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-3301","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-3301","S1-REC-3301","BPC02R-01 : Master BPB (Ban Pong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"5","31/01/2025 2:24:05.554 PM","31/01/2025 2:24:05.553 PM","Remote unit state changed from Online to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1060","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1060","S1-RCS-1060","CAB01S-07 : Master CAB (Cha-Am 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"6","31/01/2025 2:23:46.189 PM","31/01/2025 2:23:46.188 PM","Remote unit state changed from Online to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1060","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1060","S1-RCS-1060","CAB01S-07 : Master CAB (Cha-Am 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"7","31/01/2025 8:50:13.640 AM","31/01/2025 8:50:13.640 AM","Remote unit state changed from Online to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-VSP-0044","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-VSP-0044","S1-VSP-0044","CPA09S-17 : Cellular PP Ontime : VSPP 2NEH01 บจก. เก็บเกี่ยวพลังงานธรรมชาติ (Before GC51)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"8","31/01/2025 8:30:32.111 AM","31/01/2025 8:30:32.109 AM","Remote unit state changed from Online to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1092","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1092","S1-RCS-1092","PBA02S-26 : Master PBB (Phetchaburi Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"9","31/01/2025 8:30:11.665 AM","31/01/2025 8:30:11.664 AM","Remote unit state changed from Online to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1092","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1092","S1-RCS-1092","PBA02S-26 : Master PBB (Phetchaburi Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"10","30/01/2025 5:31:21.833 PM","30/01/2025 5:31:21.832 PM","Remote unit state changed from Online to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0365","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0365","S1-REC-0365","LSA07R-08 : Master LSA (Langsuan Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
