Event Summary - Thursday, April 3, 2025 3:28:11 PM
 Start Date: 01/01/2025 12:00:00 AM End Date: 01/02/2025 12:00:00 AM
Region contains S1
AND Substation contains S1 FRTU
AND Message contains Remote unit state changed from Initializing to Offline.
AND Device contains S1-RCS

"#","Process time","Field change time","Message","Note","Type","Region","Subregion","Substation","Feeder","Location","Device","Device type","AOR","Element","RTU","Alias","Severity","Voltage level [kV]","Category","Class","Activity","Inhibit","Source","User name","Console name","Reason source","Reason ID"
"1","24/01/2025 7:28:40.286 AM","24/01/2025 7:28:35.953 AM","Remote unit state changed from Initializing to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1054","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1054","S1-RCS-1054","DNA07S-12 : Master DNA (Damnoen Saduak Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"2","24/01/2025 7:28:38.516 AM","24/01/2025 7:28:35.952 AM","Remote unit state changed from Initializing to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0554","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0554","S1-RCS-0554","CPA10S-21 : Master SAV (Sawi Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"3","24/01/2025 7:28:38.234 AM","24/01/2025 7:28:35.952 AM","Remote unit state changed from Initializing to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0035","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0035","S1-RCS-0035","TSE08S-10 : Master TSE (Tha Sae Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"4","24/01/2025 7:28:38.232 AM","24/01/2025 7:28:35.952 AM","Remote unit state changed from Initializing to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0038","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0038","S1-RCS-0038","CPB08S-07 : Master CPB (Chumphon 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"5","24/01/2025 7:28:37.546 AM","24/01/2025 7:28:35.951 AM","Remote unit state changed from Initializing to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0145","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0145","S1-RCS-0145","RNB04S-04 : Master RNB (Ranong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"6","24/01/2025 1:29:00.205 AM","24/01/2025 1:28:56.149 AM","Remote unit state changed from Initializing to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-3334","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-3334","S1-RCS-3334","BPC09S-02 : Master BPB (Ban Pong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"7","24/01/2025 1:28:59.883 AM","24/01/2025 1:28:56.149 AM","Remote unit state changed from Initializing to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1050","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1050","S1-RCS-1050","PTR09S-12 : Master PTR (Photharam 1 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"8","24/01/2025 1:28:58.940 AM","24/01/2025 1:28:56.148 AM","Remote unit state changed from Initializing to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0554","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0554","S1-RCS-0554","CPA10S-21 : Master SAV (Sawi Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"9","24/01/2025 1:28:58.342 AM","24/01/2025 1:28:56.148 AM","Remote unit state changed from Initializing to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0035","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0035","S1-RCS-0035","TSE08S-10 : Master TSE (Tha Sae Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"10","24/01/2025 1:28:58.335 AM","24/01/2025 1:28:56.148 AM","Remote unit state changed from Initializing to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0038","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0038","S1-RCS-0038","CPB08S-07 : Master CPB (Chumphon 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"11","24/01/2025 1:28:58.098 AM","24/01/2025 1:28:56.147 AM","Remote unit state changed from Initializing to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0089","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0089","S1-RCS-0089","PDA06S-10 : Master PJP (Prachuap Khiri Khan Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"12","24/01/2025 1:28:57.970 AM","24/01/2025 1:28:56.147 AM","Remote unit state changed from Initializing to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0145","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0145","S1-RCS-0145","RNB04S-04 : Master RNB (Ranong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"13","23/01/2025 11:47:03.350 PM","23/01/2025 11:47:03.248 PM","Remote unit state changed from Initializing to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1055","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1055","S1-RCS-1055","DNA02S-20 : Master DNA (Damnoen Saduak Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"14","23/01/2025 11:46:59.556 PM","23/01/2025 11:46:58.592 PM","Remote unit state changed from Initializing to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0554","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0554","S1-RCS-0554","CPA10S-21 : Master SAV (Sawi Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
