Event Summary - Thursday, April 3, 2025 1:19:08 PM
 Start Date: 01/01/2025 12:00:00 AM End Date: 01/02/2025 12:00:00 AM
Region contains S1
AND Substation contains S1 FRTU
AND Message contains Remote unit state changed from Online to Initializing.
AND Device contains S1-RCS

"#","Process time","Field change time","Message","Note","Type","Region","Subregion","Substation","Feeder","Location","Device","Device type","AOR","Element","RTU","Alias","Severity","Voltage level [kV]","Category","Class","Activity","Inhibit","Source","User name","Console name","Reason source","Reason ID"
"1","31/01/2025 8:08:59.143 PM","31/01/2025 8:08:59.141 PM","Remote unit state changed from Online to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1052","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1052","S1-RCS-1052","BNP05S-18 : Master SSA (Samut Songkhram Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"2","31/01/2025 8:08:38.778 PM","31/01/2025 8:08:38.776 PM","Remote unit state changed from Online to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1052","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1052","S1-RCS-1052","BNP05S-18 : Master SSA (Samut Songkhram Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"3","31/01/2025 2:24:05.554 PM","31/01/2025 2:24:05.553 PM","Remote unit state changed from Online to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1060","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1060","S1-RCS-1060","CAB01S-07 : Master CAB (Cha-Am 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"4","31/01/2025 2:23:46.189 PM","31/01/2025 2:23:46.188 PM","Remote unit state changed from Online to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1060","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1060","S1-RCS-1060","CAB01S-07 : Master CAB (Cha-Am 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"5","31/01/2025 8:30:32.111 AM","31/01/2025 8:30:32.109 AM","Remote unit state changed from Online to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1092","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1092","S1-RCS-1092","PBA02S-26 : Master PBB (Phetchaburi Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"6","31/01/2025 8:30:11.665 AM","31/01/2025 8:30:11.664 AM","Remote unit state changed from Online to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1092","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1092","S1-RCS-1092","PBA02S-26 : Master PBB (Phetchaburi Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"7","30/01/2025 7:04:54.568 AM","30/01/2025 7:04:54.567 AM","Remote unit state changed from Online to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0506","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0506","S1-RCS-0506","CAB10S-10 : Master CAB (Cha-Am 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"8","29/01/2025 11:04:31.357 PM","29/01/2025 11:04:31.356 PM","Remote unit state changed from Online to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0799","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0799","S1-RCS-0799","CPB10S-28 : Master CPP (Chumphon Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"9","29/01/2025 2:26:26.474 PM","29/01/2025 2:26:26.470 PM","Remote unit state changed from Online to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0145","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0145","S1-RCS-0145","RNB04S-04 : Master RNB (Ranong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"10","29/01/2025 9:37:38.650 AM","29/01/2025 9:37:38.650 AM","Remote unit state changed from Online to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0527","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0527","S1-RCS-0527","PBA04S-07 : Master PBB (Phetchaburi Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
