Event Summary - Thursday, April 3, 2025 3:23:00 PM
 Start Date: 01/01/2025 12:00:00 AM End Date: 01/02/2025 12:00:00 AM
Region contains S1
AND Substation contains S1 FRTU
AND Message contains Remote unit state changed from Online to Offline.
AND Device contains S1-RCS

"#","Process time","Field change time","Message","Note","Type","Region","Subregion","Substation","Feeder","Location","Device","Device type","AOR","Element","RTU","Alias","Severity","Voltage level [kV]","Category","Class","Activity","Inhibit","Source","User name","Console name","Reason source","Reason ID"
"1","29/01/2025 2:36:37.283 PM","29/01/2025 2:36:37.281 PM","Remote unit state changed from Online to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0145","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0145","S1-RCS-0145","RNB04S-04 : Master RNB (Ranong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"2","28/01/2025 6:26:45.499 AM","28/01/2025 6:26:45.498 AM","Remote unit state changed from Online to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0952","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0952","S1-RCS-0952","LAS09S-03 : Master LSA (Langsuan Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"3","27/01/2025 5:57:13.426 PM","27/01/2025 5:57:13.424 PM","Remote unit state changed from Online to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0048","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0048","S1-RCS-0048","CAB05S-08 : Master CAB (Cha-Am 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"4","24/01/2025 10:51:14.261 AM","24/01/2025 10:51:14.261 AM","Remote unit state changed from Online to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-3309","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-3309","S1-RCS-3309","TMK10S-07 : Master BPB (Ban Pong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"5","24/01/2025 10:40:44.648 AM","24/01/2025 10:40:44.647 AM","Remote unit state changed from Online to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0583","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0583","S1-RCS-0583","CBN02S-04 : Master CBN (Chom Bueng Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"6","24/01/2025 10:35:45.570 AM","24/01/2025 10:35:45.569 AM","Remote unit state changed from Online to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0286","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0286","S1-RCS-0286","HUC02S-13 : Master HUH (Hua Hin Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"7","24/01/2025 7:28:40.758 AM","24/01/2025 7:28:35.954 AM","Remote unit state changed from Online to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-3302","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-3302","S1-RCS-3302","BPC10S-02 : Master BPB (Ban Pong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"8","24/01/2025 7:28:40.692 AM","24/01/2025 7:28:35.954 AM","Remote unit state changed from Online to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-3311","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-3311","S1-RCS-3311","TMK09S-11 : Master BPB (Ban Pong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"9","24/01/2025 7:28:40.648 AM","24/01/2025 7:28:35.954 AM","Remote unit state changed from Online to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-3339","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-3339","S1-RCS-3339","NOM02S-06 : Master NOM (Nong Pla Mor Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"10","24/01/2025 7:28:40.643 AM","24/01/2025 7:28:35.954 AM","Remote unit state changed from Online to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-3338","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-3338","S1-RCS-3338","NOM03S-03 : Master NOM (Nong Pla Mor Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"11","24/01/2025 7:28:40.638 AM","24/01/2025 7:28:35.954 AM","Remote unit state changed from Online to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-3337","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-3337","S1-RCS-3337","NOM02S-14 : Master NOM (Nong Pla Mor Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"12","24/01/2025 7:28:40.629 AM","24/01/2025 7:28:35.954 AM","Remote unit state changed from Online to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-3334","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-3334","S1-RCS-3334","BPC09S-02 : Master BPB (Ban Pong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"13","24/01/2025 7:28:40.625 AM","24/01/2025 7:28:35.954 AM","Remote unit state changed from Online to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-3332","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-3332","S1-RCS-3332","BPB05S-12 : Master BPB (Ban Pong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"14","24/01/2025 7:28:40.620 AM","24/01/2025 7:28:35.954 AM","Remote unit state changed from Online to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-3329","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-3329","S1-RCS-3329","BPB02S-06 : Master BPB (Ban Pong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"15","24/01/2025 7:28:40.616 AM","24/01/2025 7:28:35.954 AM","Remote unit state changed from Online to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-3328","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-3328","S1-RCS-3328","BPB11S-02 : Master BPB (Ban Pong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"16","24/01/2025 7:28:40.612 AM","24/01/2025 7:28:35.954 AM","Remote unit state changed from Online to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-3327","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-3327","S1-RCS-3327","BPB05S-04 : Master BPB (Ban Pong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"17","24/01/2025 7:28:40.607 AM","24/01/2025 7:28:35.954 AM","Remote unit state changed from Online to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-3326","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-3326","S1-RCS-3326","NOM02S-03 : Master NOM (Nong Pla Mor Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"18","24/01/2025 7:28:40.599 AM","24/01/2025 7:28:35.954 AM","Remote unit state changed from Online to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-3324","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-3324","S1-RCS-3324","BPB01S-03 : Master BPB (Ban Pong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"19","24/01/2025 7:28:40.591 AM","24/01/2025 7:28:35.954 AM","Remote unit state changed from Online to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-3322","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-3322","S1-RCS-3322","NOM01S-06 : Master NOM (Nong Pla Mor Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"20","24/01/2025 7:28:40.587 AM","24/01/2025 7:28:35.954 AM","Remote unit state changed from Online to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-3321","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-3321","S1-RCS-3321","BPB04S-04 : Master BPB (Ban Pong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"21","24/01/2025 7:28:40.583 AM","24/01/2025 7:28:35.954 AM","Remote unit state changed from Online to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-3319","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-3319","S1-RCS-3319","BPB11S-10 : Master BPB (Ban Pong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"22","24/01/2025 7:28:40.579 AM","24/01/2025 7:28:35.954 AM","Remote unit state changed from Online to Offline.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-3318","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-3318","S1-RCS-3318","BPB11S-22 : Master BPB (Ban Pong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
