Event Summary - Thursday, April 3, 2025 2:49:41 PM
 Start Date: 01/01/2025 12:00:00 AM End Date: 20/01/2025 12:00:00 AM
Region contains S1
AND Substation contains S1 FRTU
AND Message contains Remote unit state changed from Online to Telemetry Failure.
AND Device contains S1-RCS

"#","Process time","Field change time","Message","Note","Type","Region","Subregion","Substation","Feeder","Location","Device","Device type","AOR","Element","RTU","Alias","Severity","Voltage level [kV]","Category","Class","Activity","Inhibit","Source","User name","Console name","Reason source","Reason ID"
"1","19/01/2025 11:59:16.086 PM","19/01/2025 11:59:16.083 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0563","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0563","S1-RCS-0563","BSP05S-11 : Master BSP (Bang Saphan 1 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"2","19/01/2025 11:58:25.146 PM","19/01/2025 11:58:25.140 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0401","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0401","S1-RCS-0401","SSA05S-05 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"3","19/01/2025 11:54:09.865 PM","19/01/2025 11:54:09.864 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0563","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0563","S1-RCS-0563","BSP05S-11 : Master BSP (Bang Saphan 1 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"4","19/01/2025 11:54:07.929 PM","19/01/2025 11:54:07.928 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-3317","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-3317","S1-RCS-3317","Ban Pong 2 Substation","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"5","19/01/2025 11:51:57.437 PM","19/01/2025 11:51:57.436 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-3309","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-3309","S1-RCS-3309","Ban Pong 2 Substation","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"6","19/01/2025 11:49:54.745 PM","19/01/2025 11:49:54.743 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0563","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0563","S1-RCS-0563","BSP05S-11 : Master BSP (Bang Saphan 1 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"7","19/01/2025 11:47:01.286 PM","19/01/2025 11:47:01.285 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0563","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0563","S1-RCS-0563","BSP05S-11 : Master BSP (Bang Saphan 1 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"8","19/01/2025 11:46:00.204 PM","19/01/2025 11:46:00.202 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1038","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1038","S1-RCS-1038","PTR02S-18 : Master PTS (Photharam 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"9","19/01/2025 11:43:11.236 PM","19/01/2025 11:43:11.235 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0420","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0420","S1-RCS-0420","RBC03S-06 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"10","19/01/2025 11:42:26.676 PM","19/01/2025 11:42:26.675 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0563","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0563","S1-RCS-0563","BSP05S-11 : Master BSP (Bang Saphan 1 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"11","19/01/2025 11:40:46.455 PM","19/01/2025 11:40:46.453 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1038","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1038","S1-RCS-1038","PTR02S-18 : Master PTS (Photharam 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"12","19/01/2025 11:39:01.383 PM","19/01/2025 11:39:01.383 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1038","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1038","S1-RCS-1038","PTR02S-18 : Master PTS (Photharam 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"13","19/01/2025 11:36:48.603 PM","19/01/2025 11:36:48.595 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0420","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0420","S1-RCS-0420","RBC03S-06 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"14","19/01/2025 11:34:56.304 PM","19/01/2025 11:34:56.291 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0563","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0563","S1-RCS-0563","BSP05S-11 : Master BSP (Bang Saphan 1 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"15","19/01/2025 11:34:38.005 PM","19/01/2025 11:34:37.991 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0408","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0408","S1-RCS-0408","PTH04S-29 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"16","19/01/2025 11:31:40.332 PM","19/01/2025 11:31:40.331 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1038","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1038","S1-RCS-1038","PTR02S-18 : Master PTS (Photharam 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"17","19/01/2025 11:30:39.423 PM","19/01/2025 11:30:39.422 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0131","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0131","S1-RCS-0131","RBC03S-14 : Master PTR (Photharam 1 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"18","19/01/2025 11:28:54.262 PM","19/01/2025 11:28:54.260 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1038","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1038","S1-RCS-1038","PTR02S-18 : Master PTS (Photharam 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"19","19/01/2025 11:28:47.049 PM","19/01/2025 11:28:47.048 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0420","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0420","S1-RCS-0420","RBC03S-06 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"20","19/01/2025 11:27:05.387 PM","19/01/2025 11:27:05.386 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1038","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1038","S1-RCS-1038","PTR02S-18 : Master PTS (Photharam 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"21","19/01/2025 11:21:49.283 PM","19/01/2025 11:21:49.283 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0402","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0402","S1-RCS-0402","SSA10S-22 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"22","19/01/2025 11:17:55.793 PM","19/01/2025 11:17:55.793 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1038","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1038","S1-RCS-1038","PTR02S-18 : Master PTS (Photharam 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"23","19/01/2025 11:03:50.965 PM","19/01/2025 11:03:50.965 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1038","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1038","S1-RCS-1038","PTR02S-18 : Master PTS (Photharam 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"24","19/01/2025 10:59:36.605 PM","19/01/2025 10:59:36.604 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0408","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0408","S1-RCS-0408","PTH04S-29 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"25","19/01/2025 10:59:09.081 PM","19/01/2025 10:59:09.077 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0563","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0563","S1-RCS-0563","BSP05S-11 : Master BSP (Bang Saphan 1 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"26","19/01/2025 10:57:31.195 PM","19/01/2025 10:57:31.193 PM","Remote unit state changed from Online to Telemetry Failure.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0831","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0831","S1-RCS-0831","RBB03S-22 : Master RBB (Ratchaburi 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
