Event Summary - Thursday, April 3, 2025 12:53:36 PM
 Start Date: 01/01/2025 12:00:00 AM End Date: 01/02/2025 12:00:00 AM
Region contains S1
AND Substation contains S1 FRTU
AND Message contains Remote unit state changed from Telemetry Failure to Connecting.
AND Device contains S1-RCS

"#","Process time","Field change time","Message","Note","Type","Region","Subregion","Substation","Feeder","Location","Device","Device type","AOR","Element","RTU","Alias","Severity","Voltage level [kV]","Category","Class","Activity","Inhibit","Source","User name","Console name","Reason source","Reason ID"
"1","31/01/2025 11:59:09.883 PM","31/01/2025 11:59:09.883 PM","Remote unit state changed from Telemetry Failure to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0690","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0690","S1-RCS-0690","PBB05S-08 : Master PTH (Pak Tho Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"2","31/01/2025 11:48:05.180 PM","31/01/2025 11:48:05.179 PM","Remote unit state changed from Telemetry Failure to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0401","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0401","S1-RCS-0401","SSA05S-05 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"3","31/01/2025 11:47:14.288 PM","31/01/2025 11:47:14.287 PM","Remote unit state changed from Telemetry Failure to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0758","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0758","S1-RCS-0758","DNA05S-21 : Master DOP (Don Phai Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"4","31/01/2025 11:45:54.777 PM","31/01/2025 11:45:54.776 PM","Remote unit state changed from Telemetry Failure to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0420","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0420","S1-RCS-0420","RBC03S-06 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"5","31/01/2025 11:45:43.668 PM","31/01/2025 11:45:43.668 PM","Remote unit state changed from Telemetry Failure to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0137","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0137","S1-RCS-0137","RBC04S-12 : Master RBB (Ratchaburi 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"6","31/01/2025 11:42:27.404 PM","31/01/2025 11:42:27.355 PM","Remote unit state changed from Telemetry Failure to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0714","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0714","S1-RCS-0714","PNA03S-15 : Master PNA (Pranburi Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"7","31/01/2025 11:42:21.288 PM","31/01/2025 11:42:21.287 PM","Remote unit state changed from Telemetry Failure to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0631","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0631","S1-RCS-0631","PNA05S-16 : Master PNA (Pranburi Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"8","31/01/2025 11:34:25.967 PM","31/01/2025 11:34:25.966 PM","Remote unit state changed from Telemetry Failure to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0612","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0612","S1-RCS-0612","DNA07S-04 : Master DNA (Damnoen Saduak Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"9","31/01/2025 11:33:51.246 PM","31/01/2025 11:33:51.246 PM","Remote unit state changed from Telemetry Failure to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0402","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0402","S1-RCS-0402","SSA10S-22 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"10","31/01/2025 11:27:57.982 PM","31/01/2025 11:27:57.982 PM","Remote unit state changed from Telemetry Failure to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0275","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0275","S1-RCS-0275","HUB08S-05 : Master HUH (Hua Hin Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
