Event Summary - Thursday, April 3, 2025 4:52:19 PM
 Start Date: 01/01/2025 12:00:00 AM End Date: 05/01/2025 12:00:00 AM
Region contains S1
AND Substation contains S1 FRTU
AND Message contains Remote unit state changed from Connecting to Initializing.
AND Device does not contain S1-RCS
AND Device contains S1-REC

"#","Process time","Field change time","Message","Note","Type","Region","Subregion","Substation","Feeder","Location","Device","Device type","AOR","Element","RTU","Alias","Severity","Voltage level [kV]","Category","Class","Activity","Inhibit","Source","User name","Console name","Reason source","Reason ID"
"1","04/01/2025 11:55:14.136 PM","04/01/2025 11:55:14.134 PM","Remote unit state changed from Connecting to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0194","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0194","S1-REC-0194","CBN02R-01  : Cellular TRUE | ADVC-ULTRA","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"2","04/01/2025 11:54:47.904 PM","04/01/2025 11:54:47.903 PM","Remote unit state changed from Connecting to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0194","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0194","S1-REC-0194","CBN02R-01  : Cellular TRUE | ADVC-ULTRA","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"3","04/01/2025 11:53:33.393 PM","04/01/2025 11:53:33.393 PM","Remote unit state changed from Connecting to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0171","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0171","S1-REC-0171","XPA04R-02 : Cellular PP Ontime","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"4","04/01/2025 11:52:15.290 PM","04/01/2025 11:52:15.289 PM","Remote unit state changed from Connecting to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0171","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0171","S1-REC-0171","XPA04R-02 : Cellular PP Ontime","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"5","04/01/2025 11:46:20.448 PM","04/01/2025 11:46:20.447 PM","Remote unit state changed from Connecting to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0173","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0173","S1-REC-0173","PTH04R-05 : Cellular PP Ontime","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"6","04/01/2025 11:45:46.776 PM","04/01/2025 11:45:46.775 PM","Remote unit state changed from Connecting to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0027","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0027","S1-REC-0027","LSA05R-01 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"7","04/01/2025 11:44:05.210 PM","04/01/2025 11:44:05.209 PM","Remote unit state changed from Connecting to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0182","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0182","S1-REC-0182","RNA05R-03 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"8","04/01/2025 11:43:12.546 PM","04/01/2025 11:43:12.542 PM","Remote unit state changed from Connecting to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0182","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0182","S1-REC-0182","RNA05R-03 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"9","04/01/2025 11:42:51.214 PM","04/01/2025 11:42:51.209 PM","Remote unit state changed from Connecting to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0182","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0182","S1-REC-0182","RNA05R-03 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"10","04/01/2025 11:42:27.627 PM","04/01/2025 11:42:27.626 PM","Remote unit state changed from Connecting to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0182","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0182","S1-REC-0182","RNA05R-03 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"11","04/01/2025 11:42:14.420 PM","04/01/2025 11:42:14.420 PM","Remote unit state changed from Connecting to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0194","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0194","S1-REC-0194","CBN02R-01  : Cellular TRUE | ADVC-ULTRA","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"12","04/01/2025 11:41:43.771 PM","04/01/2025 11:41:43.770 PM","Remote unit state changed from Connecting to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0182","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0182","S1-REC-0182","RNA05R-03 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"13","04/01/2025 11:41:16.149 PM","04/01/2025 11:41:16.149 PM","Remote unit state changed from Connecting to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0182","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0182","S1-REC-0182","RNA05R-03 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"14","04/01/2025 11:40:52.539 PM","04/01/2025 11:40:52.537 PM","Remote unit state changed from Connecting to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0182","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0182","S1-REC-0182","RNA05R-03 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"15","04/01/2025 11:38:22.267 PM","04/01/2025 11:38:22.266 PM","Remote unit state changed from Connecting to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0089","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0089","S1-REC-0089","BSP07R-01","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"16","04/01/2025 11:38:13.340 PM","04/01/2025 11:38:13.339 PM","Remote unit state changed from Connecting to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0182","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0182","S1-REC-0182","RNA05R-03 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
