Event Summary - Thursday, April 3, 2025 4:16:06 PM
 Start Date: 01/01/2025 12:00:00 AM End Date: 01/02/2025 12:00:00 AM
Region contains S1
AND Substation contains S1 FRTU
AND Message contains Remote unit state changed from Initializing to Connecting.
AND Device does not contain S1-RCS
AND Device contains S1-REC

"#","Process time","Field change time","Message","Note","Type","Region","Subregion","Substation","Feeder","Location","Device","Device type","AOR","Element","RTU","Alias","Severity","Voltage level [kV]","Category","Class","Activity","Inhibit","Source","User name","Console name","Reason source","Reason ID"
"1","31/01/2025 11:52:11.736 PM","31/01/2025 11:52:11.733 PM","Remote unit state changed from Initializing to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0194","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0194","S1-REC-0194","CBN02R-01  : Cellular TRUE | ADVC-ULTRA","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"2","31/01/2025 11:20:40.266 PM","31/01/2025 11:20:40.265 PM","Remote unit state changed from Initializing to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0194","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0194","S1-REC-0194","CBN02R-01  : Cellular TRUE | ADVC-ULTRA","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"3","31/01/2025 10:41:43.991 PM","31/01/2025 10:41:43.990 PM","Remote unit state changed from Initializing to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0518","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0518","S1-REC-0518","DNA05R-01 : Master DNA (Damnoen Saduak Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"4","31/01/2025 10:30:23.178 PM","31/01/2025 10:30:23.177 PM","Remote unit state changed from Initializing to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0026","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0026","S1-REC-0026","LSA09R-05 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"5","31/01/2025 10:23:28.989 PM","31/01/2025 10:23:28.975 PM","Remote unit state changed from Initializing to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0203","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0203","S1-REC-0203","XPA01R-01 : Cellular PP Ontime","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"6","31/01/2025 10:07:50.309 PM","31/01/2025 10:07:50.307 PM","Remote unit state changed from Initializing to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0015","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0015","S1-REC-0015","DNA07R-01 : Master DNA (Damnoen Saduak Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"7","31/01/2025 9:42:55.218 PM","31/01/2025 9:42:55.212 PM","Remote unit state changed from Initializing to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0182","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0182","S1-REC-0182","RNA05R-03 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"8","31/01/2025 9:41:04.708 PM","31/01/2025 9:41:04.699 PM","Remote unit state changed from Initializing to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0194","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0194","S1-REC-0194","CBN02R-01  : Cellular TRUE | ADVC-ULTRA","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"9","31/01/2025 9:33:51.022 PM","31/01/2025 9:33:51.021 PM","Remote unit state changed from Initializing to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0192","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0192","S1-REC-0192","RNA05R-01 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"10","31/01/2025 9:32:26.493 PM","31/01/2025 9:32:26.492 PM","Remote unit state changed from Initializing to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0194","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0194","S1-REC-0194","CBN02R-01  : Cellular TRUE | ADVC-ULTRA","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
