Event Summary - Thursday, April 3, 2025 4:33:47 PM
 Start Date: 15/01/2025 12:00:00 AM End Date: 22/01/2025 12:00:00 AM
Region contains S1
AND Substation contains S1 FRTU
AND Message contains Remote unit state changed from Online to Connecting.
AND Device does not contain S1-RCS
AND Device contains S1-REC

"#","Process time","Field change time","Message","Note","Type","Region","Subregion","Substation","Feeder","Location","Device","Device type","AOR","Element","RTU","Alias","Severity","Voltage level [kV]","Category","Class","Activity","Inhibit","Source","User name","Console name","Reason source","Reason ID"
"1","21/01/2025 11:57:15.844 PM","21/01/2025 11:57:15.840 PM","Remote unit state changed from Online to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0194","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0194","S1-REC-0194","CBN02R-01  : Cellular TRUE | ADVC-ULTRA","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"2","21/01/2025 11:56:25.065 PM","21/01/2025 11:56:25.054 PM","Remote unit state changed from Online to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0200","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0200","S1-REC-0200","XPA02R-03 : Cellular PP Ontime","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"3","21/01/2025 11:55:20.786 PM","21/01/2025 11:55:20.781 PM","Remote unit state changed from Online to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0209","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0209","S1-REC-0209","BSP09R-02 : Cellular PP Ontime","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"4","21/01/2025 11:54:01.096 PM","21/01/2025 11:54:01.088 PM","Remote unit state changed from Online to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0138","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0138","S1-REC-0138","KDA01R-08 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"5","21/01/2025 11:46:45.866 PM","21/01/2025 11:46:45.865 PM","Remote unit state changed from Online to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0194","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0194","S1-REC-0194","CBN02R-01  : Cellular TRUE | ADVC-ULTRA","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"6","21/01/2025 11:45:25.821 PM","21/01/2025 11:45:25.817 PM","Remote unit state changed from Online to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0173","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0173","S1-REC-0173","PTH04R-05 : Cellular PP Ontime","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"7","21/01/2025 11:20:27.469 PM","21/01/2025 11:20:27.466 PM","Remote unit state changed from Online to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0194","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0194","S1-REC-0194","CBN02R-01  : Cellular TRUE | ADVC-ULTRA","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"8","21/01/2025 11:15:00.340 PM","21/01/2025 11:15:00.339 PM","Remote unit state changed from Online to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0194","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0194","S1-REC-0194","CBN02R-01  : Cellular TRUE | ADVC-ULTRA","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"9","21/01/2025 11:13:28.505 PM","21/01/2025 11:13:28.504 PM","Remote unit state changed from Online to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0217","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0217","S1-REC-0217","RNA04R-03 : Cellular PP Ontime","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"10","21/01/2025 11:06:02.457 PM","21/01/2025 11:06:02.456 PM","Remote unit state changed from Online to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0193","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0193","S1-REC-0193","RNB09R-01 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
