Event Summary - Wednesday, March 26, 2025 3:41:45 PM
 Start Date: 01/01/2025 12:00:00 AM End Date: 01/02/2025 12:00:00 AM
Region contains S1
AND Substation contains S1 FRTU
AND Message contains Remote unit state changed from Telemetry Failure to Initializing.

"#","Process time","Field change time","Message","Note","Type","Region","Subregion","Substation","Feeder","Location","Device","Device type","AOR","Element","RTU","Alias","Severity","Voltage level [kV]","Category","Class","Activity","Inhibit","Source","User name","Console name","Reason source","Reason ID"
"1","31/01/2025 2:23:03.634 PM","31/01/2025 2:23:03.632 PM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-3301","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-3301","S1-REC-3301","BPC02R-01 : Master BPB (Ban Pong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"2","31/01/2025 2:14:39.804 PM","31/01/2025 2:14:39.799 PM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-3301","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-3301","S1-REC-3301","BPC02R-01 : Master BPB (Ban Pong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"3","30/01/2025 12:43:33.401 AM","30/01/2025 12:43:33.400 AM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-3301","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-3301","S1-REC-3301","BPC02R-01 : Master BPB (Ban Pong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"4","30/01/2025 12:25:41.377 AM","30/01/2025 12:25:41.375 AM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-3301","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-3301","S1-REC-3301","BPC02R-01 : Master BPB (Ban Pong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"5","30/01/2025 12:14:23.583 AM","30/01/2025 12:14:23.582 AM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-3301","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-3301","S1-REC-3301","BPC02R-01 : Master BPB (Ban Pong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"6","30/01/2025 12:12:23.464 AM","30/01/2025 12:12:23.463 AM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-3301","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-3301","S1-REC-3301","BPC02R-01 : Master BPB (Ban Pong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"7","30/01/2025 12:06:37.124 AM","30/01/2025 12:06:37.122 AM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-3301","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-3301","S1-REC-3301","BPC02R-01 : Master BPB (Ban Pong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"8","29/01/2025 5:16:27.438 PM","29/01/2025 5:16:27.437 PM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-VSP-0020","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-VSP-0020","S1-VSP-0020","PBB02S-15 : Cellular PP Ontime : VSPP 2EPD03 บจก. พัฒนาพลังงานไฟฟ้า 2 (Before GC51)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"9","29/01/2025 3:16:42.423 PM","29/01/2025 3:16:42.422 PM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0195","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0195","S1-REC-0195","RNB05R-03 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"10","29/01/2025 2:38:07.825 PM","29/01/2025 2:38:07.823 PM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0145","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0145","S1-RCS-0145","RNB04S-04 : Master RNB (Ranong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"11","29/01/2025 10:18:30.109 AM","29/01/2025 10:18:30.108 AM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-0144","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-0144","S1-REC-0144","CPA02R-08 : Master CPP (Chumphon Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"12","29/01/2025 5:26:13.792 AM","29/01/2025 5:26:13.792 AM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0089","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0089","S1-RCS-0089","PDA06S-10 : Master PJP (Prachuap Khiri Khan Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"13","29/01/2025 3:34:47.656 AM","29/01/2025 3:34:47.656 AM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0170","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0170","S1-RCS-0170","RNB07S-15 : Master RNB (Ranong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"14","28/01/2025 2:02:31.111 PM","28/01/2025 2:02:31.109 PM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0089","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0089","S1-RCS-0089","PDA06S-10 : Master PJP (Prachuap Khiri Khan Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"15","28/01/2025 1:38:42.187 PM","28/01/2025 1:38:42.186 PM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0089","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0089","S1-RCS-0089","PDA06S-10 : Master PJP (Prachuap Khiri Khan Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"16","28/01/2025 1:18:32.104 PM","28/01/2025 1:18:32.097 PM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0089","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0089","S1-RCS-0089","PDA06S-10 : Master PJP (Prachuap Khiri Khan Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"17","28/01/2025 11:32:12.370 AM","28/01/2025 11:32:12.369 AM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0089","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0089","S1-RCS-0089","PDA06S-10 : Master PJP (Prachuap Khiri Khan Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"18","28/01/2025 10:49:00.093 AM","28/01/2025 10:49:00.092 AM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0089","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0089","S1-RCS-0089","PDA06S-10 : Master PJP (Prachuap Khiri Khan Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"19","28/01/2025 9:13:09.614 AM","28/01/2025 9:13:09.609 AM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0089","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0089","S1-RCS-0089","PDA06S-10 : Master PJP (Prachuap Khiri Khan Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"20","28/01/2025 2:20:53.350 AM","28/01/2025 2:20:53.349 AM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0089","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0089","S1-RCS-0089","PDA06S-10 : Master PJP (Prachuap Khiri Khan Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"21","28/01/2025 2:09:38.299 AM","28/01/2025 2:09:38.298 AM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0089","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0089","S1-RCS-0089","PDA06S-10 : Master PJP (Prachuap Khiri Khan Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"22","27/01/2025 10:05:39.056 PM","27/01/2025 10:05:39.055 PM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0089","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0089","S1-RCS-0089","PDA06S-10 : Master PJP (Prachuap Khiri Khan Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"23","27/01/2025 9:19:19.247 PM","27/01/2025 9:19:19.238 PM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0089","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0089","S1-RCS-0089","PDA06S-10 : Master PJP (Prachuap Khiri Khan Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"24","27/01/2025 1:09:21.491 PM","27/01/2025 1:09:21.490 PM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-VSP-0020","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-VSP-0020","S1-VSP-0020","PBB02S-15 : Cellular PP Ontime : VSPP 2EPD03 บจก. พัฒนาพลังงานไฟฟ้า 2 (Before GC51)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"25","27/01/2025 7:29:52.691 AM","27/01/2025 7:29:52.690 AM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0001","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0001","S1-RCS-0001","BSP10S-19 : Master BGN (Bang Saphan Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
"26","27/01/2025 1:34:05.395 AM","27/01/2025 1:34:05.394 AM","Remote unit state changed from Telemetry Failure to Initializing.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-REC-3301","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-REC-3301","S1-REC-3301","BPC02R-01 : Master BPB (Ban Pong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT1","",""
