Device,Substation,Description
S1-AVR-0003,S1 FRTU,PTH04A-01
S1-AVR-0004,S1 FRTU,RBB08A-01
S1-AVR-0005,S1 FRTU,PBA06A-01
S1-AVR-0006,S1 FRTU,HUU03A-01
S1-AVR-0007,S1 FRTU,TSE05A-01
S1-AVR-0008,S1 FRTU,LSA03A-01
S1-AVR-0009,S1 FRTU,LSA09A-01
S1-AVR-0010,S1 FRTU,LSA10A-01
S1-AVR-0011,S1 FRTU,CPA08A-01
S1-AVR-0012,S1 FRTU,XPA04A-01
S1-AVR-0013,S1 FRTU,XPA01A-01
S1-CSW-0001,S1 FRTU,PBA01YB-01
S1-LBS-0001,S1 FRTU,RBB02YS-20
S1-LBS-0002,S1 FRTU,RBB05YS-05
S1-LBS-0003,S1 FRTU,KHY04YS-07
S1-LBS-0004,S1 FRTU,RBB04YS-05
S1-LBS-0005,S1 FRTU,PTR03YS-06
S1-LBS-0006,S1 FRTU,BSP03YS-09
S1-LBS-0007,S1 FRTU,BSP03YS-08
S1-LBS-0008,S1 FRTU,BSP02YS-10
S1-LBS-0009,S1 FRTU,BSP01YS-07
S1-LBS-0010,S1 FRTU,BSP02YS-08
S1-LBS-0011,S1 FRTU,RBB02YS-10
S1-LBS-0012,S1 FRTU,TSE03YS-05
S1-LBS-0013,S1 FRTU,TSE03YS-08
S1-LBS-0014,S1 FRTU,RBB03YS-06
S1-LBS-0015,S1 FRTU,CAB04YS-07
S1-LBS-0016,S1 FRTU,HUB02YS-07
S1-LBS-0017,S1 FRTU,CPB02YS-03
S1-LBS-0018,S1 FRTU,RBB03YS-07
S1-LBS-0019,S1 FRTU,PTR07YS-04
S1-LBS-0020,S1 FRTU,RBB05YS-15
S1-LBS-0021,S1 FRTU,PTH04YS-05
S1-LBS-0022,S1 FRTU,BPB05YS-04
S1-LBS-0023,S1 FRTU,BPB01YS-04
S1-LBS-0024,S1 FRTU,BPB05YS-07
S1-RCS-0001,S1 FRTU,BSP10S-19
S1-RCS-0002,S1 FRTU,BSR06S-09
S1-RCS-0003,S1 FRTU,HUB05S-51
S1-RCS-0004,S1 FRTU,BSP09S-09
S1-RCS-0005,S1 FRTU,BSR07S-08
S1-RCS-0006,S1 FRTU,BSP09S-15
S1-RCS-0007,S1 FRTU,CBN04S-28
S1-RCS-0008,S1 FRTU,TSE02S-27
S1-RCS-0009,S1 FRTU,TSE09S-11
S1-RCS-0010,S1 FRTU,CAB04S-08
S1-RCS-0011,S1 FRTU,CAB10S-14
S1-RCS-0012,S1 FRTU,CAA06S-07
S1-RCS-0013,S1 FRTU,CAA03S-13
S1-RCS-0014,S1 FRTU,CAA03S-10
S1-RCS-0015,S1 FRTU,CAB09S-10
S1-RCS-0016,S1 FRTU,CAA03S-05
S1-RCS-0017,S1 FRTU,CAB10S-12
S1-RCS-0018,S1 FRTU,CAB04S-05
S1-RCS-0019,S1 FRTU,HUB09S-06
S1-RCS-0020,S1 FRTU,HUB06S-03
S1-RCS-0021,S1 FRTU,PBB04S-04
S1-RCS-0022,S1 FRTU,CAB05S-12
S1-RCS-0023,S1 FRTU,CAA06S-05
S1-RCS-0024,S1 FRTU,CPB07S-10
S1-RCS-0025,S1 FRTU,CPA03S-05
S1-RCS-0026,S1 FRTU,RNB08S-16
S1-RCS-0027,S1 FRTU,RNB07S-16
S1-RCS-0028,S1 FRTU,TSE08S-04
S1-RCS-0029,S1 FRTU,TSE07S-13
S1-RCS-0030,S1 FRTU,TSE07S-11
S1-RCS-0031,S1 FRTU,RIU01S-04
S1-RCS-0032,S1 FRTU,CAA07S-07
S1-RCS-0033,S1 FRTU,CPA01S-10
S1-RCS-0034,S1 FRTU,TSE05S-06
S1-RCS-0035,S1 FRTU,TSE08S-10
S1-RCS-0036,S1 FRTU,CPB07S-06
S1-RCS-0037,S1 FRTU,CPB10S-08
S1-RCS-0038,S1 FRTU,CPB08S-07
S1-RCS-0039,S1 FRTU,CPB06S-09
S1-RCS-0040,S1 FRTU,DNA07S-09
S1-RCS-0041,S1 FRTU,DNA07S-10
S1-RCS-0042,S1 FRTU,DNA02S-12
S1-RCS-0043,S1 FRTU,DNA02S-17
S1-RCS-0044,S1 FRTU,DNA01S-10
S1-RCS-0045,S1 FRTU,CAB10S-04
S1-RCS-0046,S1 FRTU,HUB05S-03
S1-RCS-0047,S1 FRTU,HUB04S-10
S1-RCS-0048,S1 FRTU,CAB05S-08
S1-RCS-0049,S1 FRTU,HUB05S-04
S1-RCS-0050,S1 FRTU,CAA04S-11
S1-RCS-0051,S1 FRTU,KDA01S-20
S1-RCS-0052,S1 FRTU,KHY10S-03
S1-RCS-0053,S1 FRTU,KHY09S-12
S1-RCS-0054,S1 FRTU,KHY10S-08
S1-RCS-0055,S1 FRTU,KHZ01S-10
S1-RCS-0056,S1 FRTU,KHY08S-04
S1-RCS-0057,S1 FRTU,KHY02S-14
S1-RCS-0058,S1 FRTU,CPA08S-09
S1-RCS-0059,S1 FRTU,HUB02S-10
S1-RCS-0060,S1 FRTU,TSE06S-16
S1-RCS-0061,S1 FRTU,TSE02S-18
S1-RCS-0062,S1 FRTU,PTR06S-15
S1-RCS-0063,S1 FRTU,HUB08S-06
S1-RCS-0064,S1 FRTU,PTR06S-08
S1-RCS-0065,S1 FRTU,RIU02S-05
S1-RCS-0066,S1 FRTU,CAB04S-07
S1-RCS-0067,S1 FRTU,CAB04S-10
S1-RCS-0068,S1 FRTU,PBA07S-14
S1-RCS-0069,S1 FRTU,PBB02S-06
S1-RCS-0070,S1 FRTU,PBB02S-14
S1-RCS-0071,S1 FRTU,PBA11S-09
S1-RCS-0072,S1 FRTU,PBA10S-11
S1-RCS-0073,S1 FRTU,PBA06S-22
S1-RCS-0074,S1 FRTU,CAA06S-08
S1-RCS-0075,S1 FRTU,PBA09S-18
S1-RCS-0076,S1 FRTU,PBA01S-17
S1-RCS-0077,S1 FRTU,PBA07S-22
S1-RCS-0078,S1 FRTU,PTR03S-16
S1-RCS-0079,S1 FRTU,PBB05S-05
S1-RCS-0080,S1 FRTU,PTS01S-08
S1-RCS-0081,S1 FRTU,PTS02S-20
S1-RCS-0082,S1 FRTU,PDA07S-08
S1-RCS-0083,S1 FRTU,RIU03S-09
S1-RCS-0084,S1 FRTU,HUC02S-51
S1-RCS-0085,S1 FRTU,PDA10S-08
S1-RCS-0086,S1 FRTU,KUA01S-06
S1-RCS-0087,S1 FRTU,PDA04S-07
S1-RCS-0088,S1 FRTU,PDA08S-07
S1-RCS-0089,S1 FRTU,PDA06S-10
S1-RCS-0090,S1 FRTU,XPA02S-06
S1-RCS-0091,S1 FRTU,KUA04S-11
S1-RCS-0092,S1 FRTU,HUB02S-11
S1-RCS-0093,S1 FRTU,HUC02S-05
S1-RCS-0094,S1 FRTU,PNA01S-07
S1-RCS-0095,S1 FRTU,PNA02S-11
S1-RCS-0096,S1 FRTU,CAB05S-14
S1-RCS-0097,S1 FRTU,HUB09S-10
S1-RCS-0098,S1 FRTU,PNA05S-06
S1-RCS-0099,S1 FRTU,HUC03S-08
S1-RCS-0100,S1 FRTU,HUB09S-07
S1-RCS-0101,S1 FRTU,PNA07S-10
S1-RCS-0102,S1 FRTU,PNA01S-17
S1-RCS-0103,S1 FRTU,PNA07S-12
S1-RCS-0104,S1 FRTU,PTH03S-12
S1-RCS-0105,S1 FRTU,HUC03S-11
S1-RCS-0106,S1 FRTU,SSA09S-06
S1-RCS-0107,S1 FRTU,PTH06S-12
S1-RCS-0108,S1 FRTU,HUB03S-52
S1-RCS-0109,S1 FRTU,PTH07S-16
S1-RCS-0110,S1 FRTU,PNA08S-22
S1-RCS-0111,S1 FRTU,HUC02S-11
S1-RCS-0112,S1 FRTU,PTH04S-19
S1-RCS-0113,S1 FRTU,HUB10S-12
S1-RCS-0114,S1 FRTU,HUB03S-06
S1-RCS-0115,S1 FRTU,PTR03S-12
S1-RCS-0116,S1 FRTU,PTR02S-07
S1-RCS-0117,S1 FRTU,PTR01S-13
S1-RCS-0118,S1 FRTU,PTR02S-15
S1-RCS-0119,S1 FRTU,PTR05S-05
S1-RCS-0120,S1 FRTU,PTR05S-10
S1-RCS-0121,S1 FRTU,PTR07S-08
S1-RCS-0122,S1 FRTU,PTR10S-15
S1-RCS-0123,S1 FRTU,PTR04S-05
S1-RCS-0124,S1 FRTU,PTS05S-05
S1-RCS-0125,S1 FRTU,PTR08S-06
S1-RCS-0126,S1 FRTU,RBA08S-09
S1-RCS-0127,S1 FRTU,PTR02S-19
S1-RCS-0128,S1 FRTU,RBA06S-09
S1-RCS-0129,S1 FRTU,RBC05S-05
S1-RCS-0130,S1 FRTU,RBC03S-13
S1-RCS-0131,S1 FRTU,RBC03S-14
S1-RCS-0132,S1 FRTU,CBN06S-08
S1-RCS-0133,S1 FRTU,CBN10S-14
S1-RCS-0134,S1 FRTU,RBB03S-12
S1-RCS-0135,S1 FRTU,KUA02S-08
S1-RCS-0136,S1 FRTU,RBB08S-09
