sep=,
Process time,Field change time,Element,Alias,Message,Type,RTU,Substation,Device,AOR,Region,Device type,Location,Subregion,Feeder,Note,Severity,Category,Class,Activity,Inhibit,Source,User name,Console name,Reason source,Reason ID,Voltage level [kV]
28/02/2025 20:29:53.790,28/02/2025 20:29:53.790,RNA_S,RNA_S,Remote unit state changed from Initializing to Online.,Event,RNA_S,RANONG 1,RNA_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,RANONG 1,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT2,,,
28/02/2025 20:29:53.788,28/02/2025 20:29:53.788,RNA_S,RNA_S,Remote unit state changed from Connecting to Initializing.,Event,RNA_S,RANONG 1,RNA_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,RANONG 1,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT2,,,
28/02/2025 20:29:03.884,28/02/2025 20:29:03.882,RNA_S,RNA_S,Remote unit state changed from Online to Connecting.,Event,RNA_S,RANONG 1,RNA_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,RANONG 1,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT2,,,
28/02/2025 15:54:03.813,28/02/2025 15:54:03.812,CAC_S,CAC_S,Remote unit state changed from Telemetry Failure to Online.,Event,CAC_S,CHA AM 3,CAC_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,CHA AM 3,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT2,,,
28/02/2025 15:53:58.768,28/02/2025 15:53:58.768,CAC_S,CAC_S,Remote unit state changed from Online to Telemetry Failure.,Event,CAC_S,CHA AM 3,CAC_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,CHA AM 3,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT2,,,
28/02/2025 14:55:57.227,28/02/2025 14:55:57.226,PTR_S,PTR_S,Remote unit state changed from Telemetry Failure to Online.,Event,PTR_S,PHOTHARAM 1,PTR_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,PHOTHARAM 1,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT2,,,
28/02/2025 14:55:57.227,28/02/2025 14:55:57.226,RBU_S,RBU_S,Remote unit state changed from Telemetry Failure to Online.,Event,RBU_S,RATCHABURI 3 (TEMPORARY),RBU_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,RATCHABURI 3 (TEMPORARY),,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT2,,,
28/02/2025 14:55:57.227,28/02/2025 14:55:57.226,RBBHV_S,RBBHV_S,Remote unit state changed from Telemetry Failure to Online.,Event,RBBHV_S,RATCHABURI 2 (115 kV),RBBHV_S,"S1-HV, S1-MV, S1-Viewer",S1_HV,Remote unit,RATCHABURI 2 (115 kV),,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT2,,,
28/02/2025 14:55:57.227,28/02/2025 14:55:57.226,RBC_S,RBC_S,Remote unit state changed from Telemetry Failure to Online.,Event,RBC_S,RATCHABURI 3,RBC_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,RATCHABURI 3,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT2,,,
28/02/2025 14:55:57.227,28/02/2025 14:55:57.226,KHZ_S,KHZ_S,Remote unit state changed from Telemetry Failure to Online.,Event,KHZ_S,KHAO YOI 2,KHZ_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,KHAO YOI 2,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT2,,,
28/02/2025 14:55:56.334,28/02/2025 14:55:56.306,RBBHV_S,RBBHV_S,Remote unit state changed from Online to Telemetry Failure.,Event,RBBHV_S,RATCHABURI 2 (115 kV),RBBHV_S,"S1-HV, S1-MV, S1-Viewer",S1_HV,Remote unit,RATCHABURI 2 (115 kV),,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT2,,,
28/02/2025 14:55:56.265,28/02/2025 14:55:56.264,RBU_S,RBU_S,Remote unit state changed from Online to Telemetry Failure.,Event,RBU_S,RATCHABURI 3 (TEMPORARY),RBU_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,RATCHABURI 3 (TEMPORARY),,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT2,,,
28/02/2025 14:55:56.265,28/02/2025 14:55:56.263,PTR_S,PTR_S,Remote unit state changed from Online to Telemetry Failure.,Event,PTR_S,PHOTHARAM 1,PTR_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,PHOTHARAM 1,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT2,,,
28/02/2025 14:55:56.265,28/02/2025 14:55:56.263,RBC_S,RBC_S,Remote unit state changed from Online to Telemetry Failure.,Event,RBC_S,RATCHABURI 3,RBC_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,RATCHABURI 3,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT2,,,
