sep=,
Process time,Field change time,Element,Alias,Message,Type,RTU,Substation,Device,AOR,Region,Device type,Location,Subregion,Feeder,Note,Severity,Category,Class,Activity,Inhibit,Source,User name,Console name,Reason source,Reason ID,Voltage level [kV]
31/03/2025 18:27:53.199,31/03/2025 18:27:53.197,CAC_S,CAC_S,Remote unit state changed from Telemetry Failure to Online.,Event,CAC_S,CHA AM 3,CAC_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,CHA AM 3,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT1,,,
31/03/2025 18:27:49.116,31/03/2025 18:27:49.114,CAC_S,CAC_S,Remote unit state changed from Online to Telemetry Failure.,Event,CAC_S,CHA AM 3,CAC_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,CHA AM 3,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT1,,,
31/03/2025 17:41:38.265,31/03/2025 17:41:38.264,BPB_S,BPB_S WRL Huawei (ITEM 10),Remote unit state changed from Telemetry Failure to Online.,Event,BPB_S,BAN PONG 2,BPB_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,BAN PONG 2,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT1,,,
31/03/2025 17:41:35.251,31/03/2025 17:41:35.250,BPB_S,BPB_S WRL Huawei (ITEM 10),Remote unit state changed from Online to Telemetry Failure.,Event,BPB_S,BAN PONG 2,BPB_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,BAN PONG 2,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT1,,,
31/03/2025 15:08:57.571,31/03/2025 15:08:57.569,1RWC01_S,1RWC01_SPP,Remote unit state changed from Telemetry Failure to Online.,Event,1RWC01_S,RATCHABURI WORLD COGEN 1,1RWC01_S,"S1-HV, S1-MV, S1-Viewer",S1_HV,Remote unit,RATCHABURI WORLD COGEN 1,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT1,,,
31/03/2025 15:08:56.619,31/03/2025 15:08:56.617,1RWC01_S,1RWC01_SPP,Remote unit state changed from Online to Telemetry Failure.,Event,1RWC01_S,RATCHABURI WORLD COGEN 1,1RWC01_S,"S1-HV, S1-MV, S1-Viewer",S1_HV,Remote unit,RATCHABURI WORLD COGEN 1,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT1,,,
31/03/2025 14:54:44.811,31/03/2025 14:54:44.810,1RWC02_S,1RWC02_SPP,Remote unit state changed from Telemetry Failure to Online.,Event,1RWC02_S,RATCHABURI WORLD COGEN 2,1RWC02_S,"S1-HV, S1-MV, S1-Viewer",S1_HV,Remote unit,RATCHABURI WORLD COGEN 2,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT1,,,
31/03/2025 14:54:44.801,31/03/2025 14:54:44.800,1RWC02_S,1RWC02_SPP,Remote unit state changed from Online to Telemetry Failure.,Event,1RWC02_S,RATCHABURI WORLD COGEN 2,1RWC02_S,"S1-HV, S1-MV, S1-Viewer",S1_HV,Remote unit,RATCHABURI WORLD COGEN 2,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT1,,,
31/03/2025 12:10:05.133,31/03/2025 12:10:05.132,ICCP_SRV,,Remote unit state changed from Initializing to Online.,Event,ICCP_SRV,,ICCP_SRV,,,ICCP Remote Control Center,,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT1,,,
31/03/2025 12:10:05.122,31/03/2025 12:10:05.121,ICCP_SRV,,Remote unit state changed from Connecting to Initializing.,Event,ICCP_SRV,,ICCP_SRV,,,ICCP Remote Control Center,,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT1,,,
31/03/2025 12:09:35.997,31/03/2025 12:09:35.995,ICCP_SRV,,Remote unit state changed from Online to Connecting.,Event,ICCP_SRV,,ICCP_SRV,,,ICCP Remote Control Center,,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT1,,,
31/03/2025 08:28:15.978,31/03/2025 08:28:15.976,CAC_S,CAC_S,Remote unit state changed from Telemetry Failure to Online.,Event,CAC_S,CHA AM 3,CAC_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,CHA AM 3,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT1,,,
31/03/2025 08:28:10.818,31/03/2025 08:28:10.816,CAC_S,CAC_S,Remote unit state changed from Online to Telemetry Failure.,Event,CAC_S,CHA AM 3,CAC_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,CHA AM 3,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT1,,,
31/03/2025 06:26:33.975,31/03/2025 06:26:33.974,BPB_S,BPB_S WRL Huawei (ITEM 10),Remote unit state changed from Initializing to Online.,Event,BPB_S,BAN PONG 2,BPB_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,BAN PONG 2,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT1,,,
31/03/2025 06:26:26.862,31/03/2025 06:26:26.861,BPB_S,BPB_S WRL Huawei (ITEM 10),Remote unit state changed from Online to Initializing.,Event,BPB_S,BAN PONG 2,BPB_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,BAN PONG 2,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT1,,,
31/03/2025 06:26:26.827,31/03/2025 06:26:26.826,BPB_S,BPB_S WRL Huawei (ITEM 10),Remote unit state changed from Initializing to Online.,Event,BPB_S,BAN PONG 2,BPB_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,BAN PONG 2,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT1,,,
31/03/2025 06:25:53.339,31/03/2025 06:25:53.338,BPB_S,BPB_S WRL Huawei (ITEM 10),Remote unit state changed from Online to Initializing.,Event,BPB_S,BAN PONG 2,BPB_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,BAN PONG 2,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT1,,,
30/03/2025 19:18:50.814,30/03/2025 19:18:50.813,1RWC01_S,1RWC01_SPP,Remote unit state changed from Telemetry Failure to Online.,Event,1RWC01_S,RATCHABURI WORLD COGEN 1,1RWC01_S,"S1-HV, S1-MV, S1-Viewer",S1_HV,Remote unit,RATCHABURI WORLD COGEN 1,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT1,,,
30/03/2025 19:18:50.807,30/03/2025 19:18:50.806,1RWC01_S,1RWC01_SPP,Remote unit state changed from Online to Telemetry Failure.,Event,1RWC01_S,RATCHABURI WORLD COGEN 1,1RWC01_S,"S1-HV, S1-MV, S1-Viewer",S1_HV,Remote unit,RATCHABURI WORLD COGEN 1,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT1,,,
