Device,Description,Availability (%),จำนวนครั้ง Initializing,ระยะเวลา Initializing (seconds),จำนวนครั้ง Telemetry Failure,ระยะเวลา Telemetry Failure (seconds),จำนวนครั้ง Connecting,ระยะเวลา Connecting (seconds),Availability Period
S1-AVR-0003,PTH04A-01,81.40425537250496,88.0,274.192,3.0,19.146,86.0,448.198,ก.พ. 2025
S1-AVR-0004,RBB08A-01,84.51506073863351,78.0,206.447,0.0,0.0,76.0,267.774,ก.พ. 2025
S1-AVR-0005,PBA06A-01,67.89909918218191,59.0,186.934,13.0,203.261,58.0,250.278,ก.พ. 2025
S1-AVR-0006,HUU03A-01,75.60805154338598,130.0,386.687,28.0,331.443,128.0,893.999,ก.พ. 2025
S1-AVR-0007,TSE05A-01,77.44412611804758,15.0,22.061,0.0,0.0,13.0,37.302,ก.พ. 2025
S1-AVR-0008,LSA03A-01,87.32778523489932,12.0,3.123,0.0,0.0,10.0,20.479000000000003,ก.พ. 2025
S1-AVR-0009,LSA09A-01,0.0,106.0,47949.025,0.0,0.0,104.0,563.847,ก.พ. 2025
S1-AVR-0010,LSA10A-01,75.74200232025908,353.0,1049.827,15.0,27.413999999999998,352.0,2347.564,ก.พ. 2025
S1-AVR-0011,CPA08A-01,82.64604810996565,9.0,0.062,0.0,0.0,7.0,0.14,ก.พ. 2025
S1-AVR-0012,XPA04A-01,20.153176293262778,390.0,1406.282,50.0,449.257,389.0,46470.004,ก.พ. 2025
S1-AVR-0013,XPA01A-01,82.97457464322083,74.0,203.901,3.0,27.433,72.0,345.634,ก.พ. 2025
S1-CSW-0001,PBA01YB-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ก.พ. 2025
S1-LBS-0001,RBB02YS-20,48.54422739621449,1848.0,156722.06600000002,304.0,3096.641,1848.0,53540.3,ก.พ. 2025
S1-LBS-0002,RBB05YS-05,67.40756811754672,46.0,107.02799999999999,0.0,0.0,43.0,328.622,ก.พ. 2025
S1-LBS-0003,KHY04YS-07,65.90653256289865,869.0,5922.219,64.0,274.13,869.0,7595.838,ก.พ. 2025
S1-LBS-0004,RBB04YS-05,14.637751421880024,233.0,4340.139,2.0,15.25,234.0,52023.269,ก.พ. 2025
S1-LBS-0005,PTR03YS-06,10.24473479674448,689.0,56935.59,5.0,32.846000000000004,690.0,65146.943,ก.พ. 2025
S1-LBS-0006,BSP03YS-09,74.28544558295829,98.0,409.747,3.0,27.272,96.0,618.403,ก.พ. 2025
S1-LBS-0007,BSP03YS-08,55.07193942487224,26.0,374.306,2.0,67.179,24.0,323.466,ก.พ. 2025
S1-LBS-0008,BSP02YS-10,63.33420851632613,5.0,6.199,0.0,0.0,3.0,24.524,ก.พ. 2025
S1-LBS-0009,BSP01YS-07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ก.พ. 2025
S1-LBS-0010,BSP02YS-08,45.8966565349544,3.0,0.16399999999999998,0.0,0.0,1.0,0.014,ก.พ. 2025
S1-LBS-0011,RBB02YS-10,53.7640882715652,25.0,121.142,1.0,5.123,24.0,240.03300000000002,ก.พ. 2025
S1-LBS-0012,TSE03YS-05,54.70686625778133,38.0,100.001,0.0,0.0,36.0,1005.358,ก.พ. 2025
S1-LBS-0013,TSE03YS-08,56.75141171299114,42.0,113.218,0.0,0.0,42.0,906.953,ก.พ. 2025
S1-LBS-0014,RBB03YS-06,63.986775759953055,510.0,9293.992,497.0,9202.692,506.0,17190.183,ก.พ. 2025
S1-LBS-0015,CAB04YS-07,47.87088867192991,3407.0,49498.578,1786.0,21128.181,3406.0,166400.253,ก.พ. 2025
S1-LBS-0016,HUB02YS-07,93.8686653928853,174.0,275.477,2.0,7.091,172.0,323.64300000000003,ก.พ. 2025
S1-LBS-0017,CPB02YS-03,99.48456520586856,32.0,67.775,2.0,8.103,29.0,154.2,ก.พ. 2025
S1-LBS-0018,RBB03YS-07,93.34689313973965,142.0,257.5,0.0,0.0,139.0,284.471,ก.พ. 2025
S1-LBS-0019,PTR07YS-04,83.22096187937026,71.0,213.056,3.0,21.246000000000002,68.0,207.056,ก.พ. 2025
S1-LBS-0020,RBB05YS-15,54.37978219050466,22.0,193.766,0.0,0.0,20.0,334.132,ก.พ. 2025
S1-LBS-0021,PTH04YS-05,62.20538790953215,175.0,2365.155,1.0,0.013,173.0,3192.038,ก.พ. 2025
S1-LBS-0022,BPB05YS-04,46.81870120275051,545.0,11328.434,1.0,21.332,545.0,15507.895,ก.พ. 2025
S1-LBS-0023,BPB01YS-04,52.26888080545182,38.0,700.9929999999999,1.0,0.004,36.0,540.193,ก.พ. 2025
S1-LBS-0024,BPB05YS-07,87.87238212843455,385.0,4968.878,7.0,81.635,382.0,8768.527,ก.พ. 2025
S1-RCS-0001,BSP10S-19,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ก.พ. 2025
S1-RCS-0002,BSR06S-09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ก.พ. 2025
S1-RCS-0003,HUB05S-51,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ก.พ. 2025
S1-RCS-0004,BSP09S-09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ก.พ. 2025
S1-RCS-0005,BSR07S-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ก.พ. 2025
S1-RCS-0006,BSP09S-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ก.พ. 2025
S1-RCS-0007,CBN04S-28,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ก.พ. 2025
S1-RCS-0008,TSE02S-27,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ก.พ. 2025
S1-RCS-0009,TSE09S-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ก.พ. 2025
S1-RCS-0010,CAB04S-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ก.พ. 2025
S1-RCS-0011,CAB10S-14,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ก.พ. 2025
S1-RCS-0012,CAA06S-07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ก.พ. 2025
S1-RCS-0013,CAA03S-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ก.พ. 2025
S1-RCS-0014,CAA03S-10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ก.พ. 2025
S1-RCS-0015,CAB09S-10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ก.พ. 2025
