Device,Description,Availability (%),จำนวนครั้ง Initializing,ระยะเวลา Initializing (seconds),จำนวนครั้ง Telemetry Failure,ระยะเวลา Telemetry Failure (seconds),จำนวนครั้ง Connecting,ระยะเวลา Connecting (seconds),Availability Period
S1-AVR-0003,PTH04A-01,68.17802676157815,95.0,358.279,268.0,2442.814,95.0,582.111,มี.ค. 2025
S1-AVR-0004,RBB08A-01,74.58582949869152,99.0,304.67,281.0,2558.757,99.0,402.008,มี.ค. 2025
S1-AVR-0005,PBA06A-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,มี.ค. 2025
S1-AVR-0006,HUU03A-01,79.07866150427607,97.0,356.118,113.0,918.486,97.0,484.082,มี.ค. 2025
S1-AVR-0007,TSE05A-01,78.12416634390993,26.0,50.902,93.0,574.254,26.0,64.486,มี.ค. 2025
S1-AVR-0008,LSA03A-01,73.24012524242049,25.0,40.961,70.0,546.558,25.0,68.175,มี.ค. 2025
S1-AVR-0009,LSA09A-01,0.0,74.0,2713.523,0.0,0.0,75.0,349.979,มี.ค. 2025
S1-AVR-0010,LSA10A-01,80.35958125649593,103.0,259.05,90.0,609.456,103.0,567.089,มี.ค. 2025
S1-AVR-0011,CPA08A-01,67.09411115990059,20.0,24.558,53.0,519.102,20.0,42.359,มี.ค. 2025
S1-AVR-0012,XPA04A-01,70.76375201212454,464.0,2031.529,300.0,2488.566,464.0,4250.963,มี.ค. 2025
S1-AVR-0013,XPA01A-01,14.3233082532604,143.0,561.296,145.0,44499.691,143.0,1173.433,มี.ค. 2025
S1-AVR-3300,,0.0,260.0,11681.213,0.0,0.0,258.0,53660.289,มี.ค. 2025
S1-CSW-0001,PBA01YB-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,มี.ค. 2025
S1-LBS-0001,RBB02YS-20,54.24068326634853,13.0,121.954,9.0,122.73700000000001,13.0,183.176,มี.ค. 2025
S1-LBS-0002,RBB05YS-05,10.609538114150014,65.0,271.921,184.0,44738.477000000006,65.0,514.894,มี.ค. 2025
S1-LBS-0003,KHY04YS-07,47.45553114812506,76.0,1357.612,24.0,155.516,75.0,1518.98,มี.ค. 2025
S1-LBS-0004,RBB04YS-05,83.43782443275816,221.0,3452.196,219.0,1661.104,225.0,5483.01,มี.ค. 2025
S1-LBS-0005,PTR03YS-06,47.25421234192143,341.0,5727.247,158.0,1245.647,342.0,51981.767,มี.ค. 2025
S1-LBS-0006,BSP03YS-09,46.60762541878251,64.0,615.794,11.0,57.041,65.0,909.369,มี.ค. 2025
S1-LBS-0007,BSP03YS-08,46.64706847975022,45.0,704.731,14.0,71.592,45.0,816.246,มี.ค. 2025
S1-LBS-0008,BSP02YS-10,50.42055496763377,5.0,2.078,6.0,65.935,5.0,4.136,มี.ค. 2025
S1-LBS-0009,BSP01YS-07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,มี.ค. 2025
S1-LBS-0010,BSP02YS-08,34.95967165131659,4.0,2.076,3.0,53.937,4.0,3.0949999999999998,มี.ค. 2025
S1-LBS-0011,RBB02YS-10,63.00454134357143,46.0,246.20499999999998,205.0,1974.136,45.0,467.146,มี.ค. 2025
S1-LBS-0012,TSE03YS-05,43.368126640587604,44.0,145.707,4.0,16.576999999999998,44.0,1112.124,มี.ค. 2025
S1-LBS-0013,TSE03YS-08,44.4449141600989,56.0,186.77700000000002,6.0,6.999,56.0,1264.935,มี.ค. 2025
S1-LBS-0014,RBB03YS-06,45.49080607966472,894.0,17556.564,1523.0,66914.717,895.0,31112.156,มี.ค. 2025
S1-LBS-0015,CAB04YS-07,40.94889838248035,2409.0,36567.411,1261.0,15446.155,2414.0,103693.956,มี.ค. 2025
S1-LBS-0016,HUB02YS-07,78.8493274244812,179.0,374.507,205.0,2382.31,179.0,328.13,มี.ค. 2025
S1-LBS-0017,CPB02YS-03,75.21831655901056,76.0,183.144,131.0,1233.813,77.0,364.737,มี.ค. 2025
S1-LBS-0018,RBB03YS-07,81.89773666730554,74.0,153.711,142.0,1223.469,74.0,141.555,มี.ค. 2025
S1-LBS-0019,PTR07YS-04,93.86552180274343,117.0,321.43399999999997,592.0,5665.42,118.0,584.73,มี.ค. 2025
S1-LBS-0020,RBB05YS-15,1.144869360190542,58.0,43733.025,16.0,126.097,59.0,43952.988000000005,มี.ค. 2025
S1-LBS-0021,PTH04YS-05,58.38026127716853,202.0,2812.9,15.0,98.589,205.0,3757.968,มี.ค. 2025
S1-LBS-0022,BPB05YS-04,57.90980564833479,1360.0,27634.879,7.0,257.451,1362.0,77523.05,มี.ค. 2025
S1-LBS-0023,BPB01YS-04,60.781528791565286,34.0,655.391,0.0,0.0,34.0,505.16200000000003,มี.ค. 2025
S1-LBS-0024,BPB05YS-07,49.8877367684076,388.0,5452.374,7.0,72.508,389.0,11029.187,มี.ค. 2025
S1-RCS-0001,BSP10S-19,100.0,0.0,0.0,0.0,0.0,0.0,0.0,มี.ค. 2025
S1-RCS-0002,BSR06S-09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,มี.ค. 2025
S1-RCS-0003,HUB05S-51,100.0,0.0,0.0,0.0,0.0,0.0,0.0,มี.ค. 2025
S1-RCS-0004,BSP09S-09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,มี.ค. 2025
S1-RCS-0005,BSR07S-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,มี.ค. 2025
S1-RCS-0006,BSP09S-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,มี.ค. 2025
S1-RCS-0007,CBN04S-28,100.0,0.0,0.0,0.0,0.0,0.0,0.0,มี.ค. 2025
S1-RCS-0008,TSE02S-27,100.0,0.0,0.0,0.0,0.0,0.0,0.0,มี.ค. 2025
