Field change time,Message,Device,Availability Period,Source File
22/01/2025 13:48:47.986,Remote unit state changed from Online to Offline.,1BPC01_S,à¸¡.à¸„. 2025,S1-SUBSTATION_JAN-MAR2025à¸¡.à¸„. 2025.csv
22/01/2025 13:48:58.285,Remote unit state changed from Offline to Connecting.,1BPC01_S,à¸¡.à¸„. 2025,S1-SUBSTATION_JAN-MAR2025à¸¡.à¸„. 2025.csv
22/01/2025 13:49:30.319,Remote unit state changed from Connecting to Initializing.,1BPC01_S,à¸¡.à¸„. 2025,S1-SUBSTATION_JAN-MAR2025à¸¡.à¸„. 2025.csv
22/01/2025 13:49:49.721,Remote unit state changed from Initializing to Online.,1BPC01_S,à¸¡.à¸„. 2025,S1-SUBSTATION_JAN-MAR2025à¸¡.à¸„. 2025.csv
23/01/2025 01:48:36.971,Remote unit state changed from Online to Offline.,1BPC01_S,à¸¡.à¸„. 2025,S1-SUBSTATION_JAN-MAR2025à¸¡.à¸„. 2025.csv
23/01/2025 01:48:47.224,Remote unit state changed from Offline to Connecting.,1BPC01_S,à¸¡.à¸„. 2025,S1-SUBSTATION_JAN-MAR2025à¸¡.à¸„. 2025.csv
23/01/2025 02:01:36.115,Remote unit state changed from Connecting to Initializing.,1BPC01_S,à¸¡.à¸„. 2025,S1-SUBSTATION_JAN-MAR2025à¸¡.à¸„. 2025.csv
23/01/2025 02:01:37.064,Remote unit state changed from Initializing to Online.,1BPC01_S,à¸¡.à¸„. 2025,S1-SUBSTATION_JAN-MAR2025à¸¡.à¸„. 2025.csv
23/01/2025 11:51:00.196,Remote unit state changed from Online to Offline.,1BPC01_S,à¸¡.à¸„. 2025,S1-SUBSTATION_JAN-MAR2025à¸¡.à¸„. 2025.csv
23/01/2025 11:51:22.639,Remote unit state changed from Offline to Connecting.,1BPC01_S,à¸¡.à¸„. 2025,S1-SUBSTATION_JAN-MAR2025à¸¡.à¸„. 2025.csv
23/01/2025 11:51:40.529,Remote unit state changed from Connecting to Initializing.,1BPC01_S,à¸¡.à¸„. 2025,S1-SUBSTATION_JAN-MAR2025à¸¡.à¸„. 2025.csv
23/01/2025 11:52:49.375,Remote unit state changed from Initializing to Online.,1BPC01_S,à¸¡.à¸„. 2025,S1-SUBSTATION_JAN-MAR2025à¸¡.à¸„. 2025.csv
23/01/2025 12:46:57.979,Remote unit state changed from Online to Offline.,1BPC01_S,à¸¡.à¸„. 2025,S1-SUBSTATION_JAN-MAR2025à¸¡.à¸„. 2025.csv
23/01/2025 12:48:17.383,Remote unit state changed from Offline to Connecting.,1BPC01_S,à¸¡.à¸„. 2025,S1-SUBSTATION_JAN-MAR2025à¸¡.à¸„. 2025.csv
23/01/2025 12:49:15.095,Remote unit state changed from Connecting to Initializing.,1BPC01_S,à¸¡.à¸„. 2025,S1-SUBSTATION_JAN-MAR2025à¸¡.à¸„. 2025.csv
23/01/2025 12:52:16.326,Remote unit state changed from Initializing to Online.,1BPC01_S,à¸¡.à¸„. 2025,S1-SUBSTATION_JAN-MAR2025à¸¡.à¸„. 2025.csv
23/01/2025 13:40:55.364,Remote unit state changed from Online to Offline.,1BPC01_S,à¸¡.à¸„. 2025,S1-SUBSTATION_JAN-MAR2025à¸¡.à¸„. 2025.csv
23/01/2025 13:41:03.394,Remote unit state changed from Offline to Connecting.,1BPC01_S,à¸¡.à¸„. 2025,S1-SUBSTATION_JAN-MAR2025à¸¡.à¸„. 2025.csv
23/01/2025 13:41:44.748,Remote unit state changed from Connecting to Initializing.,1BPC01_S,à¸¡.à¸„. 2025,S1-SUBSTATION_JAN-MAR2025à¸¡.à¸„. 2025.csv
23/01/2025 13:42:33.211,Remote unit state changed from Initializing to Online.,1BPC01_S,à¸¡.à¸„. 2025,S1-SUBSTATION_JAN-MAR2025à¸¡.à¸„. 2025.csv
