Field change time,Message,Device,Availability Period,Source File
2025-02-28 20:29:53.790,Remote unit state changed from Initializing to Online.,RNA_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 20:29:53.788,Remote unit state changed from Connecting to Initializing.,RNA_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 20:29:03.882,Remote unit state changed from Online to Connecting.,RNA_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 15:54:03.812,Remote unit state changed from Telemetry Failure to Online.,CAC_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 15:53:58.768,Remote unit state changed from Online to Telemetry Failure.,CAC_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 14:55:57.226,Remote unit state changed from Telemetry Failure to Online.,PTR_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 14:55:57.226,Remote unit state changed from Telemetry Failure to Online.,RBU_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 14:55:57.226,Remote unit state changed from Telemetry Failure to Online.,RBBHV_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 14:55:57.226,Remote unit state changed from Telemetry Failure to Online.,RBC_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 14:55:57.226,Remote unit state changed from Telemetry Failure to Online.,KHZ_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 14:55:56.306,Remote unit state changed from Online to Telemetry Failure.,RBBHV_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 14:55:56.264,Remote unit state changed from Online to Telemetry Failure.,RBU_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 14:55:56.263,Remote unit state changed from Online to Telemetry Failure.,PTR_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 14:55:56.263,Remote unit state changed from Online to Telemetry Failure.,RBC_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 14:55:56.263,Remote unit state changed from Online to Telemetry Failure.,KHZ_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:39:48.922,Remote unit state changed from Telemetry Failure to Online.,PNA_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:39:34.945,Remote unit state changed from Telemetry Failure to Online.,CAC_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:39:33.723,Remote unit state changed from Online to Telemetry Failure.,PNA_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:39:33.698,Remote unit state changed from Online to Telemetry Failure.,CAC_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:17:01.700,Remote unit state changed from Initializing to Online.,LSA_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:17:00.747,Remote unit state changed from Connecting to Initializing.,LSA_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:57.686,Remote unit state changed from Telemetry Failure to Online.,XPA_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:55.625,Remote unit state changed from Initializing to Connecting.,LSA_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:55.623,Remote unit state changed from Connecting to Initializing.,LSA_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:50.539,Remote unit state changed from Initializing to Connecting.,LSA_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:50.533,Remote unit state changed from Connecting to Initializing.,LSA_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:47.477,Remote unit state changed from Telemetry Failure to Online.,RBBHV_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:47.472,Remote unit state changed from Telemetry Failure to Online.,PTS_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:45.573,Remote unit state changed from Initializing to Connecting.,LSA_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:45.571,Remote unit state changed from Connecting to Initializing.,LSA_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:45.570,Remote unit state changed from Telemetry Failure to Online.,RBU_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:44.440,Remote unit state changed from Telemetry Failure to Online.,RBC_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:44.437,Remote unit state changed from Telemetry Failure to Online.,PTR_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:44.436,Remote unit state changed from Telemetry Failure to Online.,KHZ_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:43.422,Remote unit state changed from Online to Telemetry Failure.,KHZ_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:43.419,Remote unit state changed from Online to Telemetry Failure.,XPA_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:42.421,Remote unit state changed from Online to Telemetry Failure.,RBC_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:42.421,Remote unit state changed from Online to Telemetry Failure.,PTR_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:42.417,Remote unit state changed from Online to Telemetry Failure.,PTS_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:42.414,Remote unit state changed from Online to Telemetry Failure.,RBBHV_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:42.414,Remote unit state changed from Online to Telemetry Failure.,RBU_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:40.444,Remote unit state changed from Initializing to Connecting.,LSA_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:40.440,Remote unit state changed from Connecting to Initializing.,LSA_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:35.320,Remote unit state changed from Initializing to Connecting.,LSA_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:35.313,Remote unit state changed from Connecting to Initializing.,LSA_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:34.315,Remote unit state changed from Initializing to Connecting.,LSA_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:34.301,Remote unit state changed from Connecting to Initializing.,LSA_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:32.341,Remote unit state changed from Initializing to Online.,QTA_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
2025-02-28 12:16:30.742,Remote unit state changed from Initializing to Online.,BSR_S,ก.พ. 2025,S1-SUBSTATION_JAN-MAR2025ก.พ. 2025.csv
