Field change time,Message,Device,Availability Period,Source File
2025-04-01 11:11:23.428,Remote unit state changed from Online to Connecting.,1BPC01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-01 11:11:24.505,Remote unit state changed from Connecting to Initializing.,1BPC01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-01 11:11:25.504,Remote unit state changed from Initializing to Online.,1BPC01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-09 13:37:58.240,Remote unit state changed from Online to Telemetry Failure.,1BPC01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-09 13:37:58.342,Remote unit state changed from Telemetry Failure to Connecting.,1BPC01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-09 13:38:03.383,Remote unit state changed from Connecting to Initializing.,1BPC01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-09 13:38:05.228,Remote unit state changed from Initializing to Online.,1BPC01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-17 18:40:51.606,Remote unit state changed from Online to Connecting.,1BPC01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-17 18:40:53.570,Remote unit state changed from Connecting to Initializing.,1BPC01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-17 18:40:55.607,Remote unit state changed from Initializing to Online.,1BPC01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-22 11:09:58.656,Remote unit state changed from Online to Connecting.,1BPC01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-22 11:09:59.807,Remote unit state changed from Connecting to Initializing.,1BPC01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-22 11:10:00.544,Remote unit state changed from Initializing to Online.,1BPC01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-22 23:42:47.075,Remote unit state changed from Online to Offline.,1BPC01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-22 23:43:00.460,Remote unit state changed from Offline to Connecting.,1BPC01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-22 23:43:28.858,Remote unit state changed from Connecting to Initializing.,1BPC01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-22 23:43:55.772,Remote unit state changed from Initializing to Online.,1BPC01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-23 13:33:42.693,Remote unit state changed from Online to Offline.,1BPC01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-23 13:34:14.039,Remote unit state changed from Offline to Connecting.,1BPC01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-23 13:34:33.312,Remote unit state changed from Connecting to Initializing.,1BPC01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-23 13:34:50.407,Remote unit state changed from Initializing to Online.,1BPC01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-01 11:11:23.433,Remote unit state changed from Online to Connecting.,1BPU01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-01 11:11:24.508,Remote unit state changed from Connecting to Initializing.,1BPU01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-01 11:11:25.512,Remote unit state changed from Initializing to Online.,1BPU01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-01 14:26:05.925,Remote unit state changed from Online to Connecting.,1BPU01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-01 14:26:06.876,Remote unit state changed from Connecting to Initializing.,1BPU01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-01 14:26:08.013,Remote unit state changed from Initializing to Online.,1BPU01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-09 13:37:58.254,Remote unit state changed from Online to Telemetry Failure.,1BPU01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-09 13:37:58.345,Remote unit state changed from Telemetry Failure to Connecting.,1BPU01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-09 13:38:03.387,Remote unit state changed from Connecting to Initializing.,1BPU01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
2025-04-09 13:38:05.745,Remote unit state changed from Initializing to Online.,1BPU01_S,เม.ย. 2025,S1-Substation_APR2025เม.ย. 2025.csv
