Field change time,Message,Device,Availability Period,Source File
2025-03-31 18:27:53.197,Remote unit state changed from Telemetry Failure to Online.,CAC_S,มี.ค. 2025,S1-SUBSTATION_JAN-MAR2025มี.ค. 2025.csv
2025-03-31 18:27:49.114,Remote unit state changed from Online to Telemetry Failure.,CAC_S,มี.ค. 2025,S1-SUBSTATION_JAN-MAR2025มี.ค. 2025.csv
2025-03-31 17:41:38.264,Remote unit state changed from Telemetry Failure to Online.,BPB_S,มี.ค. 2025,S1-SUBSTATION_JAN-MAR2025มี.ค. 2025.csv
2025-03-31 17:41:35.250,Remote unit state changed from Online to Telemetry Failure.,BPB_S,มี.ค. 2025,S1-SUBSTATION_JAN-MAR2025มี.ค. 2025.csv
2025-03-31 15:08:57.569,Remote unit state changed from Telemetry Failure to Online.,1RWC01_S,มี.ค. 2025,S1-SUBSTATION_JAN-MAR2025มี.ค. 2025.csv
2025-03-31 15:08:56.617,Remote unit state changed from Online to Telemetry Failure.,1RWC01_S,มี.ค. 2025,S1-SUBSTATION_JAN-MAR2025มี.ค. 2025.csv
2025-03-31 14:54:44.810,Remote unit state changed from Telemetry Failure to Online.,1RWC02_S,มี.ค. 2025,S1-SUBSTATION_JAN-MAR2025มี.ค. 2025.csv
2025-03-31 14:54:44.800,Remote unit state changed from Online to Telemetry Failure.,1RWC02_S,มี.ค. 2025,S1-SUBSTATION_JAN-MAR2025มี.ค. 2025.csv
2025-03-31 08:28:15.976,Remote unit state changed from Telemetry Failure to Online.,CAC_S,มี.ค. 2025,S1-SUBSTATION_JAN-MAR2025มี.ค. 2025.csv
2025-03-31 08:28:10.816,Remote unit state changed from Online to Telemetry Failure.,CAC_S,มี.ค. 2025,S1-SUBSTATION_JAN-MAR2025มี.ค. 2025.csv
2025-03-31 06:26:33.974,Remote unit state changed from Initializing to Online.,BPB_S,มี.ค. 2025,S1-SUBSTATION_JAN-MAR2025มี.ค. 2025.csv
2025-03-31 06:26:26.861,Remote unit state changed from Online to Initializing.,BPB_S,มี.ค. 2025,S1-SUBSTATION_JAN-MAR2025มี.ค. 2025.csv
2025-03-31 06:26:26.826,Remote unit state changed from Initializing to Online.,BPB_S,มี.ค. 2025,S1-SUBSTATION_JAN-MAR2025มี.ค. 2025.csv
2025-03-31 06:25:53.338,Remote unit state changed from Online to Initializing.,BPB_S,มี.ค. 2025,S1-SUBSTATION_JAN-MAR2025มี.ค. 2025.csv
2025-03-30 19:18:50.813,Remote unit state changed from Telemetry Failure to Online.,1RWC01_S,มี.ค. 2025,S1-SUBSTATION_JAN-MAR2025มี.ค. 2025.csv
2025-03-30 19:18:50.806,Remote unit state changed from Online to Telemetry Failure.,1RWC01_S,มี.ค. 2025,S1-SUBSTATION_JAN-MAR2025มี.ค. 2025.csv
2025-03-30 18:24:50.010,Remote unit state changed from Telemetry Failure to Online.,BPB_S,มี.ค. 2025,S1-SUBSTATION_JAN-MAR2025มี.ค. 2025.csv
2025-03-30 18:24:45.891,Remote unit state changed from Online to Telemetry Failure.,BPB_S,มี.ค. 2025,S1-SUBSTATION_JAN-MAR2025มี.ค. 2025.csv
2025-03-30 05:52:08.701,Remote unit state changed from Telemetry Failure to Online.,NOM_S,มี.ค. 2025,S1-SUBSTATION_JAN-MAR2025มี.ค. 2025.csv
2025-03-30 05:52:08.683,Remote unit state changed from Telemetry Failure to Online.,BPA_S,มี.ค. 2025,S1-SUBSTATION_JAN-MAR2025มี.ค. 2025.csv
2025-03-30 05:52:05.672,Remote unit state changed from Online to Telemetry Failure.,NOM_S,มี.ค. 2025,S1-SUBSTATION_JAN-MAR2025มี.ค. 2025.csv
