Field change time,Message,Device,Availability Period
2025-02-28 23:58:45.252,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ก.พ. 2025
2025-02-28 23:58:44.221,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ก.พ. 2025
2025-02-28 23:58:35.043,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ก.พ. 2025
2025-02-28 23:43:41.677,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ก.พ. 2025
2025-02-28 23:43:39.616,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ก.พ. 2025
2025-02-28 23:43:30.500,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ก.พ. 2025
2025-02-28 23:42:23.347,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ก.พ. 2025
2025-02-28 23:42:21.344,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ก.พ. 2025
2025-02-28 23:41:30.527,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ก.พ. 2025
2025-02-28 23:24:58.271,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ก.พ. 2025
2025-02-28 23:24:56.218,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ก.พ. 2025
2025-02-28 23:24:24.672,Remote unit state changed from Initializing to Connecting.,S1-VSP-0025,ก.พ. 2025
2025-02-28 23:24:24.670,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ก.พ. 2025
2025-02-28 23:24:07.531,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ก.พ. 2025
2025-02-28 23:23:22.750,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ก.พ. 2025
2025-02-28 23:23:20.717,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ก.พ. 2025
2025-02-28 23:23:07.440,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ก.พ. 2025
2025-02-28 23:21:26.730,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ก.พ. 2025
2025-02-28 23:21:23.615,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ก.พ. 2025
2025-02-28 23:20:32.737,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ก.พ. 2025
2025-02-28 23:18:03.162,Remote unit state changed from Initializing to Online.,S1-VSP-0024,ก.พ. 2025
2025-02-28 23:18:01.163,Remote unit state changed from Connecting to Initializing.,S1-VSP-0024,ก.พ. 2025
2025-02-28 23:17:53.265,Remote unit state changed from Online to Connecting.,S1-VSP-0024,ก.พ. 2025
2025-02-28 23:16:48.800,Remote unit state changed from Initializing to Online.,S1-VSP-0024,ก.พ. 2025
2025-02-28 23:16:47.740,Remote unit state changed from Connecting to Initializing.,S1-VSP-0024,ก.พ. 2025
2025-02-28 23:16:34.532,Remote unit state changed from Online to Connecting.,S1-VSP-0024,ก.พ. 2025
