Field change time,Message,Device,Availability Period
2025-01-31 23:57:51.500,Remote unit state changed from Initializing to Online.,S1-AVR-0003,ม.ค. 2025
2025-01-31 23:57:44.387,Remote unit state changed from Connecting to Initializing.,S1-AVR-0003,ม.ค. 2025
2025-01-31 23:57:38.304,Remote unit state changed from Online to Connecting.,S1-AVR-0003,ม.ค. 2025
2025-01-31 23:46:21.309,Remote unit state changed from Initializing to Online.,S1-AVR-0013,ม.ค. 2025
2025-01-31 23:46:20.273,Remote unit state changed from Connecting to Initializing.,S1-AVR-0013,ม.ค. 2025
2025-01-31 23:45:20.300,Remote unit state changed from Online to Connecting.,S1-AVR-0013,ม.ค. 2025
2025-01-31 22:59:58.756,Remote unit state changed from Initializing to Online.,S1-AVR-0003,ม.ค. 2025
2025-01-31 22:59:56.787,Remote unit state changed from Connecting to Initializing.,S1-AVR-0003,ม.ค. 2025
2025-01-31 22:59:53.732,Remote unit state changed from Online to Connecting.,S1-AVR-0003,ม.ค. 2025
2025-01-31 22:45:29.114,Remote unit state changed from Initializing to Online.,S1-AVR-0003,ม.ค. 2025
2025-01-31 22:45:28.108,Remote unit state changed from Connecting to Initializing.,S1-AVR-0003,ม.ค. 2025
2025-01-31 22:45:21.926,Remote unit state changed from Online to Connecting.,S1-AVR-0003,ม.ค. 2025
2025-01-31 21:25:36.502,Remote unit state changed from Initializing to Online.,S1-AVR-0005,ม.ค. 2025
2025-01-31 21:25:34.464,Remote unit state changed from Connecting to Initializing.,S1-AVR-0005,ม.ค. 2025
2025-01-31 21:25:32.469,Remote unit state changed from Online to Connecting.,S1-AVR-0005,ม.ค. 2025
2025-01-31 20:44:50.913,Remote unit state changed from Initializing to Online.,S1-AVR-0010,ม.ค. 2025
2025-01-31 20:44:48.860,Remote unit state changed from Connecting to Initializing.,S1-AVR-0010,ม.ค. 2025
2025-01-31 20:44:46.809,Remote unit state changed from Online to Connecting.,S1-AVR-0010,ม.ค. 2025
2025-01-31 20:27:00.923,Remote unit state changed from Initializing to Online.,S1-AVR-0010,ม.ค. 2025
2025-01-31 20:26:58.919,Remote unit state changed from Connecting to Initializing.,S1-AVR-0010,ม.ค. 2025
2025-01-31 20:26:56.863,Remote unit state changed from Online to Connecting.,S1-AVR-0010,ม.ค. 2025
2025-01-31 20:22:17.997,Remote unit state changed from Initializing to Online.,S1-AVR-0006,ม.ค. 2025
2025-01-31 20:22:05.725,Remote unit state changed from Connecting to Initializing.,S1-AVR-0006,ม.ค. 2025
2025-01-31 20:22:00.626,Remote unit state changed from Online to Connecting.,S1-AVR-0006,ม.ค. 2025
2025-01-31 20:00:24.224,Remote unit state changed from Telemetry Failure to Online.,S1-AVR-0013,ม.ค. 2025
2025-01-31 20:00:22.168,Remote unit state changed from Online to Telemetry Failure.,S1-AVR-0013,ม.ค. 2025
2025-01-31 19:58:46.316,Remote unit state changed from Initializing to Online.,S1-AVR-0003,ม.ค. 2025
2025-01-31 19:58:44.310,Remote unit state changed from Connecting to Initializing.,S1-AVR-0003,ม.ค. 2025
2025-01-31 19:58:39.250,Remote unit state changed from Online to Connecting.,S1-AVR-0003,ม.ค. 2025
2025-01-31 19:58:20.858,Remote unit state changed from Initializing to Online.,S1-AVR-0010,ม.ค. 2025
2025-01-31 19:58:18.796,Remote unit state changed from Connecting to Initializing.,S1-AVR-0010,ม.ค. 2025
2025-01-31 19:57:58.515,Remote unit state changed from Online to Connecting.,S1-AVR-0010,ม.ค. 2025
2025-01-31 18:40:48.683,Remote unit state changed from Initializing to Online.,S1-AVR-0003,ม.ค. 2025
2025-01-31 18:40:46.630,Remote unit state changed from Connecting to Initializing.,S1-AVR-0003,ม.ค. 2025
2025-01-31 18:40:41.534,Remote unit state changed from Online to Connecting.,S1-AVR-0003,ม.ค. 2025
2025-01-31 18:38:43.478,Remote unit state changed from Initializing to Online.,S1-AVR-0010,ม.ค. 2025
2025-01-31 18:38:41.377,Remote unit state changed from Connecting to Initializing.,S1-AVR-0010,ม.ค. 2025
2025-01-31 18:38:39.366,Remote unit state changed from Online to Connecting.,S1-AVR-0010,ม.ค. 2025
2025-01-31 18:36:06.527,Remote unit state changed from Initializing to Online.,S1-AVR-0004,ม.ค. 2025
2025-01-31 18:36:04.522,Remote unit state changed from Connecting to Initializing.,S1-AVR-0004,ม.ค. 2025
2025-01-31 18:36:02.452,Remote unit state changed from Online to Connecting.,S1-AVR-0004,ม.ค. 2025
2025-01-31 18:18:19.416,Remote unit state changed from Initializing to Online.,S1-AVR-0010,ม.ค. 2025
2025-01-31 18:18:17.402,Remote unit state changed from Connecting to Initializing.,S1-AVR-0010,ม.ค. 2025
2025-01-31 18:18:15.393,Remote unit state changed from Online to Connecting.,S1-AVR-0010,ม.ค. 2025
2025-01-31 16:16:48.125,Remote unit state changed from Initializing to Online.,S1-AVR-0013,ม.ค. 2025
2025-01-31 16:16:47.127,Remote unit state changed from Connecting to Initializing.,S1-AVR-0013,ม.ค. 2025
2025-01-31 16:16:41.058,Remote unit state changed from Online to Connecting.,S1-AVR-0013,ม.ค. 2025
2025-01-31 16:10:48.541,Remote unit state changed from Initializing to Online.,S1-AVR-0003,ม.ค. 2025
2025-01-31 16:10:46.461,Remote unit state changed from Connecting to Initializing.,S1-AVR-0003,ม.ค. 2025
2025-01-31 16:10:41.426,Remote unit state changed from Online to Connecting.,S1-AVR-0003,ม.ค. 2025
2025-01-31 15:39:40.487,Remote unit state changed from Initializing to Online.,S1-AVR-0012,ม.ค. 2025
2025-01-31 15:39:28.253,Remote unit state changed from Connecting to Initializing.,S1-AVR-0012,ม.ค. 2025
2025-01-31 15:39:23.121,Remote unit state changed from Initializing to Connecting.,S1-AVR-0012,ม.ค. 2025
2025-01-31 15:37:45.413,Remote unit state changed from Connecting to Initializing.,S1-AVR-0012,ม.ค. 2025
2025-01-31 15:37:40.259,Remote unit state changed from Online to Connecting.,S1-AVR-0012,ม.ค. 2025
2025-01-31 15:24:38.984,Remote unit state changed from Initializing to Online.,S1-AVR-0010,ม.ค. 2025
2025-01-31 15:24:37.921,Remote unit state changed from Connecting to Initializing.,S1-AVR-0010,ม.ค. 2025
2025-01-31 15:24:29.795,Remote unit state changed from Online to Connecting.,S1-AVR-0010,ม.ค. 2025
2025-01-31 15:18:16.161,Remote unit state changed from Initializing to Online.,S1-AVR-0010,ม.ค. 2025
2025-01-31 15:18:14.201,Remote unit state changed from Connecting to Initializing.,S1-AVR-0010,ม.ค. 2025
2025-01-31 15:18:12.086,Remote unit state changed from Online to Connecting.,S1-AVR-0010,ม.ค. 2025
2025-01-31 15:05:17.945,Remote unit state changed from Initializing to Online.,S1-AVR-0003,ม.ค. 2025
2025-01-31 15:05:14.901,Remote unit state changed from Connecting to Initializing.,S1-AVR-0003,ม.ค. 2025
2025-01-31 15:05:11.825,Remote unit state changed from Online to Connecting.,S1-AVR-0003,ม.ค. 2025
2025-01-31 14:54:45.489,Remote unit state changed from Initializing to Online.,S1-AVR-0005,ม.ค. 2025
2025-01-31 14:54:44.478,Remote unit state changed from Connecting to Initializing.,S1-AVR-0005,ม.ค. 2025
2025-01-31 14:54:32.420,Remote unit state changed from Online to Connecting.,S1-AVR-0005,ม.ค. 2025
2025-01-31 14:25:33.377,Remote unit state changed from Initializing to Online.,S1-AVR-0010,ม.ค. 2025
2025-01-31 14:25:31.452,Remote unit state changed from Connecting to Initializing.,S1-AVR-0010,ม.ค. 2025
2025-01-31 14:25:29.348,Remote unit state changed from Online to Connecting.,S1-AVR-0010,ม.ค. 2025
2025-01-31 14:12:17.351,Remote unit state changed from Initializing to Online.,S1-AVR-0013,ม.ค. 2025
2025-01-31 14:12:10.284,Remote unit state changed from Connecting to Initializing.,S1-AVR-0013,ม.ค. 2025
2025-01-31 14:12:04.138,Remote unit state changed from Online to Connecting.,S1-AVR-0013,ม.ค. 2025
2025-01-31 14:01:25.398,Remote unit state changed from Initializing to Online.,S1-AVR-0010,ม.ค. 2025
2025-01-31 14:01:23.325,Remote unit state changed from Connecting to Initializing.,S1-AVR-0010,ม.ค. 2025
2025-01-31 14:01:20.263,Remote unit state changed from Online to Connecting.,S1-AVR-0010,ม.ค. 2025
2025-01-31 13:30:18.777,Remote unit state changed from Initializing to Online.,S1-AVR-0003,ม.ค. 2025
