Field change time,Message,Device,Availability Period
2025-01-31 23:19:28.006,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ม.ค. 2025
2025-01-31 23:19:25.988,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ม.ค. 2025
2025-01-31 23:19:16.791,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ม.ค. 2025
2025-01-31 23:14:29.594,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ม.ค. 2025
2025-01-31 23:14:28.591,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ม.ค. 2025
2025-01-31 23:14:18.408,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ม.ค. 2025
2025-01-31 22:07:23.866,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ม.ค. 2025
2025-01-31 22:07:23.676,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ม.ค. 2025
2025-01-31 22:07:11.629,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ม.ค. 2025
2025-01-31 21:22:09.969,Remote unit state changed from Initializing to Online.,S1-VSP-0022,ม.ค. 2025
2025-01-31 21:22:05.925,Remote unit state changed from Connecting to Initializing.,S1-VSP-0022,ม.ค. 2025
2025-01-31 21:21:15.053,Remote unit state changed from Online to Connecting.,S1-VSP-0022,ม.ค. 2025
2025-01-31 21:14:00.431,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ม.ค. 2025
2025-01-31 21:13:59.426,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ม.ค. 2025
2025-01-31 21:13:42.134,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ม.ค. 2025
2025-01-31 21:13:19.742,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ม.ค. 2025
2025-01-31 21:13:16.765,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ม.ค. 2025
2025-01-31 21:12:26.900,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ม.ค. 2025
2025-01-31 19:51:25.416,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ม.ค. 2025
2025-01-31 19:51:23.442,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ม.ค. 2025
2025-01-31 19:50:33.508,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ม.ค. 2025
2025-01-31 19:48:32.386,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ม.ค. 2025
2025-01-31 19:48:31.288,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ม.ค. 2025
2025-01-31 19:48:28.291,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ม.ค. 2025
2025-01-31 19:30:03.327,Remote unit state changed from Initializing to Online.,S1-VSP-0024,ม.ค. 2025
2025-01-31 19:29:42.007,Remote unit state changed from Connecting to Initializing.,S1-VSP-0024,ม.ค. 2025
2025-01-31 19:29:28.614,Remote unit state changed from Telemetry Failure to Connecting.,S1-VSP-0024,ม.ค. 2025
2025-01-31 19:29:11.339,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0024,ม.ค. 2025
2025-01-31 19:01:55.884,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ม.ค. 2025
2025-01-31 19:01:52.906,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ม.ค. 2025
2025-01-31 19:01:21.282,Remote unit state changed from Initializing to Connecting.,S1-VSP-0025,ม.ค. 2025
