Field change time,Message,Device,Availability Period
2025-03-31 23:46:34.012,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0021,มี.ค. 2025
2025-03-31 23:46:20.759,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0021,มี.ค. 2025
2025-03-31 23:36:51.983,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0029,มี.ค. 2025
2025-03-31 23:36:47.937,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0029,มี.ค. 2025
2025-03-31 23:36:09.188,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0027,มี.ค. 2025
2025-03-31 23:35:59.065,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0027,มี.ค. 2025
2025-03-31 23:35:53.905,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0029,มี.ค. 2025
2025-03-31 23:35:51.902,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0029,มี.ค. 2025
2025-03-31 23:32:28.394,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0024,มี.ค. 2025
2025-03-31 23:31:26.363,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0024,มี.ค. 2025
2025-03-31 23:29:32.377,Remote unit state changed from Initializing to Online.,S1-VSP-0025,มี.ค. 2025
2025-03-31 23:29:30.399,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,มี.ค. 2025
2025-03-31 23:29:25.291,Remote unit state changed from Online to Connecting.,S1-VSP-0025,มี.ค. 2025
2025-03-31 23:23:05.673,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0020,มี.ค. 2025
2025-03-31 23:22:54.431,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0023,มี.ค. 2025
2025-03-31 23:22:53.507,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0020,มี.ค. 2025
2025-03-31 23:22:39.276,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0023,มี.ค. 2025
2025-03-31 23:10:04.034,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0024,มี.ค. 2025
2025-03-31 23:07:28.366,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0029,มี.ค. 2025
2025-03-31 23:07:19.214,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0029,มี.ค. 2025
2025-03-31 23:07:12.068,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0024,มี.ค. 2025
2025-03-31 23:06:32.351,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0024,มี.ค. 2025
2025-03-31 23:06:15.021,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0024,มี.ค. 2025
2025-03-31 23:05:07.919,Remote unit state changed from Initializing to Online.,S1-VSP-0025,มี.ค. 2025
2025-03-31 23:05:05.851,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,มี.ค. 2025
2025-03-31 23:04:52.590,Remote unit state changed from Online to Connecting.,S1-VSP-0025,มี.ค. 2025
