#,Indicators,Name,State,Failure time,Success time,Protocol,Address,Security,Active link,Type,Parent,FEP,AOR,Region,Subregion,Substation,Feeder,Location,Alias,Description,สถานที่ติดตั้ง,สถานที่,การไฟฟ้า,ประเภทอุปกรณ์,ใช้งาน/ไม่ใช้งาน,หมายเหตุ
1,,1BPC01_S,Online,9/4/2025 13:37,1/5/2025 0:42,DNP3,824,None,1BPC01_S_CommLink,RTU,,prod-FrontEndProcessor-Default,"S1-Viewer, S1-MV, S1-HV",S1_HV,,BERKPRAI COGEN,,BERKPRAI COGEN,1BPC01_SPP,BERKPRAI COGEN,โรงไฟฟ้า,-,กฟส.บ้านโป่ง,SPP-Substation,ใช้งาน,frtu ผชฟ. ดูแล
2,,1BPU01_S,Online,9/4/2025 13:37,1/5/2025 0:42,DNP3,819,None,1BPU01_S_CommLink,RTU,,prod-FrontEndProcessor-Default,"S1-Viewer, S1-MV, S1-HV",S1_HV,,BAN PONG UTILITY,,BAN PONG UTILITY,1BPU01_SPP,BAN PONG UTILITY,โรงไฟฟ้า,-,กฟส.บ้านโป่ง,SPP-Substation,ใช้งาน,-
3,,1RWC01_S,Online,1/5/2025 0:15,1/5/2025 0:42,DNP3,3224,None,1RWC01_CommLink,RTU,,prod-FrontEndProcessor-Default,"S1-Viewer, S1-MV, S1-HV",S1_HV,,RATCHABURI WORLD COGEN 1,,RATCHABURI WORLD COGEN 1,1RWC01_SPP,RATCHABURI WORLD COGEN 1,โรงไฟฟ้า,-,กฟส.ราชบุรี,SPP-Substation,ใช้งาน,-
4,,1RWC02_S,Online,30/4/2025 21:18,1/5/2025 0:42,DNP3,3225,None,1RWC02_CommLink,RTU,,prod-FrontEndProcessor-Default,"S1-Viewer, S1-MV, S1-HV",S1_HV,,RATCHABURI WORLD COGEN 2,,RATCHABURI WORLD COGEN 2,1RWC02_SPP,RATCHABURI WORLD COGEN 2,โรงไฟฟ้า,-,กฟส.ราชบุรี,SPP-Substation,ใช้งาน,-
5,Telemetry Failure,2ENS01_S,Initializing,23/4/2025 13:34,23/2/2025 4:56,DNP3,3229,None,2ENS01_CommLink,RTU,,prod-FrontEndProcessor-Default,"S1-Viewer, S1-MV, S1-HV",S1_HV,,ENERGY SERV SOLARCELL,,ENERGY SERV SOLARCELL,2ENS01_SPP,ENERGY SERV SOLARCELL,โรงไฟฟ้า,-,กฟส.เขาย้อย,VSPP-Substation,ใช้งาน,-
6,,2EQU01_S,Online,7/2/2025 20:37,1/5/2025 0:42,DNP3,3230,None,2EQU01_CommLink,RTU,,prod-FrontEndProcessor-Default,"S1-Viewer, S1-MV, S1-HV",S1_HV,,EQUATOR SOLARCELL,,EQUATOR SOLARCELL,2EQU01_SPP,EQUATOR SOLARCELL,โรงไฟฟ้า,-,กฟส.ชะอำ,VSPP-Substation,ใช้งาน,-
7,,BPB_S,Online,29/4/2025 15:34,1/5/2025 0:42,DNP3,1602,None,BPB_S_CommLink,RTU,,prod-FrontEndProcessor-Default,"S1-Viewer, S1-MV, S1-HV",S1 MV,,BAN PONG 2,,BAN PONG 2,BPB_S WRL Huawei (ITEM 10),BAN PONG 2,สถานีไฟฟ้า,สถานีไฟฟ้าบ้านโป่ง 2,กฟส.บ้านโป่ง,CSCS/SCPS,ใช้งาน,-
8,,BPC_S,Online,9/4/2025 13:38,1/5/2025 0:42,DNP3,268,None,BPC_S_CommLink,RTU,,prod-FrontEndProcessor-Default,"S1-Viewer, S1-MV, S1-HV",S1 MV,,BAN PONG 3,,BAN PONG 3,BPC_S,BAN PONG 3,สถานีไฟฟ้า,สถานีไฟฟ้าบ้านโป่ง 3,กฟส.บ้านโป่ง,CSCS/SCPS,ใช้งาน,-
9,Has a Tag,BSP_S,Online,23/4/2025 12:40,1/5/2025 0:42,DNP3,3200,None,BSP_S_CommLink,RTU,,prod-FrontEndProcessor-Default,"S1-Viewer, S1-MV, S1-HV",S1 MV,,BANG SAPHAN 1,,BANG SAPHAN 1,BSP_S,BANG SAPHAN 1,สถานีไฟฟ้า,สถานีไฟฟ้าบางสะพาน 1,กฟส.บางสะพาน,CSCS/SCPS,ใช้งาน,-
10,,BSR_S,Online,23/4/2025 12:40,1/5/2025 0:42,DNP3,3201,None,BSR_S_CommLink,RTU,,prod-FrontEndProcessor-Default,"S1-Viewer, S1-MV, S1-HV",S1 MV,,BANG SAPHAN 2,,BANG SAPHAN 2,BSR_S,BANG SAPHAN 2,สถานีไฟฟ้า,สถานีไฟฟ้าบางสะพาน 2,กฟส.บางสะพาน,CSCS/SCPS,ใช้งาน,-
11,,CAA_S,Online,26/4/2025 0:08,1/5/2025 0:42,DNP3,3241,None,CAA_S_CommLink,RTU,,prod-FrontEndProcessor-Default,"S1-Viewer, S1-MV, S1-HV",S1 MV,,CHA AM 1,,CHA AM 1,CAA_S,CHA AM 1,สถานีไฟฟ้า,สถานีไฟฟ้าชะอำ 1,กฟส.ชะอำ,CSCS/SCPS,ใช้งาน,-
12,,CAB_S,Online,23/4/2025 12:40,1/5/2025 0:42,DNP3,3221,None,CAB_S_CommLink,RTU,,prod-FrontEndProcessor-Default,"S1-Viewer, S1-MV, S1-HV",S1 MV,,CHA AM 2,,CHA AM 2,CAB_S,CHA AM 2,สถานีไฟฟ้า,สถานีไฟฟ้าชะอำ 1,กฟส.ชะอำ,CSCS/SCPS,ใช้งาน,-
13,,CAC_S,Online,29/4/2025 23:22,1/5/2025 0:42,DNP3,3237,None,CAC_S_CommLink,RTU,,prod-FrontEndProcessor-Default,"S1-Viewer, S1-MV, S1-HV",S1 MV,,CHA AM 3,,CHA AM 3,CAC_S,CHA AM 3,สถานีไฟฟ้า,สถานีไฟฟ้าชะอำ 3,กฟส.ชะอำ,CSCS/SCPS,ใช้งาน,-
14,Off Scan,CAU_S,Offline,18/1/2024 15:25,18/1/2024 15:25,DNP3,3234,None,,RTU,,prod-FrontEndProcessor-Default,"S1-Viewer, S1-MV, S1-HV",S1 MV,,CHA AM 3 (TEMPORARY),,CHA AM 3 (TEMPORARY),CAU_S,CHA AM 3 (TEMPORARY),สถานีไฟฟ้า,สถานีไฟฟ้าชะอำ 3 (ชั่วคราว),กฟส.ชะอำ,CSCS/SCPS,ไม่ใช้งาน,รอลบข้อมูลออก
15,,CBN_S,Online,23/4/2025 12:40,1/5/2025 0:42,DNP3,3220,None,CBN_S_CommLink,RTU,,prod-FrontEndProcessor-Default,"S1-Viewer, S1-MV, S1-HV",S1 MV,,CHOM BUNG,,CHOM BUNG,CBN_S,CHOM BUNG,สถานีไฟฟ้า,สถานีไฟฟ้าจอมบึง,กฟส.จอมบึง,CSCS/SCPS,ใช้งาน,-
16,,CPA_S,Online,23/4/2025 12:40,1/5/2025 0:42,DNP3,105,None,CPA_S_CommLink,RTU,,prod-FrontEndProcessor-Default,"S1-Viewer, S1-MV, S1-HV",S1 MV,,CHUMPHON 1,,CHUMPHON 1,CPA_S,CHUMPHON 1,สถานีไฟฟ้า,สถานีไฟฟ้าชุมพร 1,กฟส.ชุมพร,CSCS/SCPS,ใช้งาน,-
17,,CPB_S,Online,21/4/2025 17:04,1/5/2025 0:42,DNP3,102,None,CPB_S_CommLink,RTU,,prod-FrontEndProcessor-Default,"S1-Viewer, S1-MV, S1-HV",S1 MV,,CHUMPHON 2,,CHUMPHON 2,CPB_S,CHUMPHON 2,สถานีไฟฟ้า,สถานีไฟฟ้าชุมพร 2,กฟส.ชุมพร,CSCS/SCPS,ใช้งาน,-
18,,DNA_S,Online,26/4/2025 9:39,1/5/2025 0:42,DNP3,3204,None,DNA_S_CommLink,RTU,,prod-FrontEndProcessor-Default,"S1-Viewer, S1-MV, S1-HV",S1 MV,,DAMNOEN SADUAK,,DAMNOEN SADUAK,DNA_S,DAMNOEN SADUAK,สถานีไฟฟ้า,สถานีไฟฟ้าดำเนินสะดวก,กฟส.ดำเนินสะดวก,CSCS/SCPS,ใช้งาน,-
19,,HUB_S,Online,3/4/2025 17:16,1/5/2025 0:42,DNP3,3206,None,HUB_S_CommLink,RTU,,prod-FrontEndProcessor-Default,"S1-Viewer, S1-MV, S1-HV",S1 MV,,HUA HIN 2,,HUA HIN 2,HUB_S,HUA HIN 2,สถานีไฟฟ้า,สถานีไฟฟ้าหัวหิน 2,กฟส.หัวหิน,CSCS/SCPS,ใช้งาน,-
